course_name,course_code,meta,meta_second
Screenwriting Practices 3,FLTV30014,"Offered Year Long, 2020","Undergraduate Level 3, 50 credit points "
Development Economics,ECON40012,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Actuarial Analytics and Data I,ACTL30008,"Offered Semester 1, 2020","Undergraduate Level 3, 12.5 credit points "
Contemporary Geographical Thought,GEOG90018,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Building Sustainability,ABPL90120,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Leadership in Professional Practice,PHTY90111,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Technical Internship,DPSS30003,"Offered Year Long, 2020","Undergraduate Level 3, 12.5 credit points "
Developing Clinical Practice 2,EDUC90594,"Offered Year Long (Extended), 2020","Graduate coursework, 18.75 credit points "
Law and Public Administration,LAWS90119,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Advanced Book Publishing,PUBL90020,"Offered Semester 2, 2020","Graduate coursework, 25 credit points "
Narrative Projects 2B,FLTV70031,"Offered Semester 2 (Early-Start), 2020","Graduate coursework Level 7, 37.5 credit points "
Quantitative Methods in Language Studies,LING90005,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Research Methods,COMP90044,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Advanced Clinical Skills 3 Part A,VETS90050,"Offered February, Semester 2 (Extended), 2020","Graduate coursework, 18.75 credit points "
Languages in Context,LANG90001,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Graduate Italian A,ITAL90003,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Clinical Audiology A,AUDI90021,"Offered Year Long, 2020","Graduate coursework, 25 credit points "
Advanced Psychological Theory & Practice,PSYC40013,"Offered Semester 2, 2020","Undergraduate Level 4, 12.5 credit points "
Applied Aural Musicianship 4,MUSI30255,"Offered Semester 2, 2020","Undergraduate Level 3, 6.25 credit points "
Physics Research Project Pt 1,PHYC90048,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 37.5 credit points "
Education Research Methodology,EDUC90419,"Offered February, July, 2020","Graduate coursework, 12.5 credit points "
"Inclusive Language, Literacy & Numeracy",EDUC90907,"Offered February, 2020","Graduate coursework, 6.25 credit points "
Advanced Fluid Dynamics,MCEN90018,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Translation Technologies,TRAN90023,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Quant. Decision Making & Optimisation,BISY90017,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Research and Evidence in Practice,REHB90010,"Offered Term 2, 2020","Graduate coursework, 12.5 credit points "
Australian Architecture,ABPL90089,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Screen Culture and Aesthetics 1,FLTV10009,"Offered Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Curriculum Frameworks in the IB PYP,EDUC90261,"Offered Term 2, Term 4, 2020","Graduate coursework, 12.5 credit points "
Means and Methods in Construction,ABPL90334,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Disaster and Humanitarian Aid,DEVT90058,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Modern Architecture: MoMo to PoMo,ARCH20003,"Offered Semester 1, 2020","Undergraduate Level 2, 12.5 credit points "
Applied Heritage Conservation Techniques,ABPL90385,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Educational Foundations (Prim),EDUC90882,"Offered March, 2020","Graduate coursework, 6.25 credit points "
Rehabilitation in Neurology,REHB90008,"Offered Term 3, 2020","Graduate coursework, 12.5 credit points "
Information Economy and Society,ISYS90097,"Offered Term 3, 2020","Graduate coursework, 12.5 credit points "
Lifespan Risk and Resilience,SCWK90064,"Offered February, 2020","Graduate coursework, 12.5 credit points "
Leading and Managing TE Institutions,MGMT90242,"Offered Term 2, 2020","Graduate coursework, 12.5 credit points "
Shorter Thesis - Art History,AHIS70001,"Offered Time-based Research, 2020","Masters time-based research, 0 credit points "
Optimal Performance Under Pressure,MUSI90223,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Clinical Inquiry & Nursing Research,NURS90123,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Introducing Advanced Practice Nursing,NURS90134,"Offered Year Long, 2020","Graduate coursework, 25 credit points "
Radiology for Physiotherapists,RADI90010,"Offered July, 2020","Graduate coursework, 12.5 credit points "
