code,title
AACG8990,Master of Research - Accounting and Corporate Governance
ABST1000,Introducing Indigenous Australia
ABST1020,"Dharug Country: Presences, Places and People"
ABST1030,Introduction to Indigenous Queer Studies
ABST2020,Indigenous Culture and Text
ABST2035,Global Indigenous Queer Identities
ABST2060,Indigenous Histories and Knowledges
ABST3025,Indigenous Research Methodologies
ABST3035,Indigenous Queer Theory & Practice
ABST3040,Indigenous Policy: Politics and Activism
ABST8990,Master of Research - Indigenous Studies
ABSX1000,Introducing Indigenous Australia
ABSX1020,"Dharug Country: Presences, Places and People"
ABSX1030,Introduction to Indigenous Queer Studies
ABSX2020,Indigenous Culture and Text
ABSX2035,Global Indigenous Queer Identities
ABSX2060,Indigenous Histories and Knowledges
ABSX3025,Indigenous Research Methodologies
ABSX3035,Indigenous Queer Theory and Practice
ABSX3040,Indigenous Policy: Politics and Activism
ACCG1000,Accounting in Society
ACCG1001,Accounting and Governance
ACCG1020,Global Legal Frameworks for a Sustainable Planet
ACCG2000,Management Accounting
ACCG2002,Finance and Regulation for New Ventures
ACCG2004,Business Ethics and Risk Management
ACCG2024,Financial Accounting and Reporting
ACCG2050,Information Systems and Business Processes
ACCG2051,Business and Corporations Law
ACCG2060,Sustainability Strategy and Reporting
ACCG2065,Blockchain for Business
ACCG2067,Foundations of Forensic and Data Analytics
ACCG3001,Organisational Planning and Control
ACCG3005,Global Trade Law
ACCG3008,Corporate Accounting and Business Advisory
ACCG3015,Accountants in the Profession
ACCG3020,Taxation Law and Practice
ACCG3025,Cyber Security and Privacy
ACCG3030,Strategic Management Accounting
ACCG3040,Auditing and Assurance Services
ACCG3050,Financial Statement Analysis
ACCG3055,Information Systems for Management
ACCG3058,Information Systems Audit and Assurance
ACCG3060,Cyber Security Governance and Ethics
ACCG6003,Managing Finance
ACCG6011,Principles of Accounting
ACCG6014,Business and Company Law
ACCG7025,Auditing and Assurance Services
ACCG7027,Current Issues in Accounting and Corporate Governance
ACCG7028,Management Control Systems
ACCG7035,International Accounting
ACCG7051,Legal Governance for Business Enterprises
ACCG8004,Advanced Quantitative Research Approaches in Business and Economics
ACCG8022,Information Systems in Business
ACCG8025,Management Accounting: Strategy and Control
ACCG8028,Management Control Systems
ACCG8030,Enterprise Risk Management - Corporate Governance Perspectives
ACCG8035,International Accounting
ACCG8042,Measuring and Managing Performance
ACCG8047,Fundamentals of Forensic Accounting
ACCG8048,Business and Professional Ethics
ACCG8051,Legal Governance for Business Enterprises
ACCG8070,Chinese Trade and Investment Law
ACCG8076,Forensic and Data Analytics
ACCG8077,Forensic Accountants and the Courts
ACCG8078,Investigation Engagements
ACCG8079,Information Systems for Competitive Advantage
ACCG8086,"Cyber Security, Governance Frameworks and Ethics"
ACCG8087,Advanced Information System Audit and Assurance
ACCG8089,Loss and Damage and other Dispute Engagements
ACCG8092,Blockchain for Competitive Advantage
ACCG8097,Law for Managers
ACCG8121,Managerial Accounting
ACCG8123,Accounting Standards and Practice
ACCG8124,Taxation Law
ACCG8125,Auditing and Assurance Services
ACCG8126,Corporate Accounting
ACCG8127,Current Issues in Accounting and Corporate Governance
ACCG8141,Strategic Business Leader I
ACCG8142,Strategic Business Reporting
ACCG8143,Strategic Business Leader II
ACCG8144,Advanced Financial Management
ACCG8145,Advanced Audit and Assurance
ACCG8146,Advanced Performance Management
ACCG8150,Contemporary Accounting Practice
ACCG8303,CPA - Global Strategy and Leadership
ACCG8304,CPA - Advanced Audit and Assurance
ACCG8305,CPA - Financial Risk Management
ACCG8307,CPA - Financial Reporting
ACCG8308,CPA - Strategic Management Accounting
ACCG8309,CPA - Australia Taxation - Advanced
ACCG8313,CPA - Ethics and Governance
ACCG8314,CPA - Contemporary Business Issues
ACOM1001,Academic Communication in the Social Sciences and Humanities
ACOM1002,Academic Communication in Science
ACOM1003,Academic Communication in Business
ACST1001,Finance 1A
ACST1052,Introduction to Actuarial Studies
ACST2001,Financial Modelling
ACST2002,Mathematics of Finance
ACST2012,Combinatorial Probability
ACST2052,Finance and Financial Reporting
ACST2055,Contingent Payments
ACST3006,Quantitative Asset and Liability Modelling 1
ACST3007,Quantitative Asset and Liability Modelling 2
ACST3015,Research/Project
ACST3055,Contingent Payments 2
ACST3056,Mathematical Theory of Risk
ACST3057,General Insurance Pricing and Reserving
ACST3058,Survival Models
ACST3059,Actuarial Modelling
ACST4002,Actuarial Control Cycle 1
ACST4003,Actuarial Control Cycle 2
ACST4005,Actuarial Data Analytics
ACST6003,Principles of Finance
ACST7031,Actuarial Control Cycle 1
ACST7032,Actuarial Control Cycle 2
ACST7034,Financial Institutions Management and Regulation
ACST7090,Data and Visualisation for Business
ACST7095,Actuarial Data Analytics
ACST8015,Superannuation
ACST8028,"Options, Futures and Derivatives"
ACST8029,Capital Budgeting and Financial Modelling
ACST8031,Actuarial Control Cycle 1
ACST8032,Actuarial Control Cycle 2
ACST8034,Financial Institutions Management and Regulation
ACST8040,Quantitative Research Methods
ACST8052,Finance and Financial Reporting
ACST8072,Quantitative Techniques in Debt and Equity Investment Management
ACST8073,Financial Derivatives Management
ACST8081,Mathematics of Finance
ACST8082,Contingent Payments
ACST8083,Actuarial Statistics
ACST8084,Survival Models
ACST8085,Quantitative Methods for Risk Analysis
ACST8086,Actuarial Modelling
ACST8087,Quantitative Asset and Liability Modelling 1
ACST8088,Quantitative Asset and Liability Modelling 2
ACST8095,Actuarial Data Analytics
AFCL8001,Portfolio Management and Valuation
AFCL8002,Professional Practice
AFCL8003,Corporate Finance
AFCL8004,Financial Instruments
AFCL8005,Financial Risk Management
AFCL8042,Mergers and Acquisitions
AFCL8045,Applied Portfolio Management
