code,title,campus,semester,year
ANTH 1104,Introduction to Anthropology: People and Culture,North Terrace Campus,Semester 2,2019
ANTH 2008,Identity and Discrimination,North Terrace Campus,Semester 2,2019
ANTH 2036,Anthropology of Violence and Crime,North Terrace Campus,Semester 1,2019
ANTH 2038,Anthropology of Health and Medicine,North Terrace Campus,Semester 2,2019
ANTH 2041,"Popular Culture: Passion, Style, Vibe",North Terrace Campus,Semester 1,2019
ANTH 2042,Consuming Passions: Anthropology of Food and Drink,North Terrace Campus,Summer,2019
ANTH 2054,The Sexual Body,North Terrace Campus,Semester 1,2019
ANTH 2057,The Anthropology of Drinking: From Water to Wine,North Terrace Campus,Winter,2019
ANTH 3002,"Anthropology of Emotion, Mind and Person",North Terrace Campus,Semester 1,2019
ANTH 3036,Contemporary Anthropology: Perspectives & Practice,North Terrace Campus,Semester 2,2019
ANTH 4001,Honours Anthropological Theory,North Terrace Campus,Semester 1,2019
ANTH 4002,Honours Anthropology Ethnographic Fieldwork,North Terrace Campus,Semester 1,2019
ANTH 4003,Honours Anthropology Thesis,North Terrace Campus,Semester 2,2019
ANTH 4003,Honours Anthropology Thesis,North Terrace Campus,Semester 1,2019
ANTH 4004A,Honours Anthropology Thesis A,North Terrace Campus,Semester 1,2019
ANTH 4004B,Honours Anthropology Thesis B,North Terrace Campus,Semester 2,2019
ANTH 1104,Foundations of Social Anthropology: People and Culture,North Terrace Campus,Semester 1,2018
ANTH 1105,Introduction to Social Anthropology: Identity and Difference,North Terrace Campus,Semester 2,2018
ANTH 2036,Anthropology of Violence and Crime,North Terrace Campus,Semester 1,2018
ANTH 2042,Consuming Passions: Anthropology of Food and Drink,North Terrace Campus,Summer,2018
ANTH 2053,"Life, Death and Culture",North Terrace Campus,Semester 2,2018
ANTH 2057,The Anthropology of Drinking: From Water to Wine,North Terrace Campus,Winter,2018
ANTH 3002,"Anthropology of Emotion, Mind and Person",North Terrace Campus,Semester 1,2018
ANTH 3034,Visual and Media Anthropology,North Terrace Campus,Semester 2,2018
ANTH 3036,Contemporary Anthropology: Perspectives & Practice,North Terrace Campus,Semester 2,2018
ANTH 4001,Honours Anthropological Theory,North Terrace Campus,Semester 1,2018
ANTH 4001,Honours Anthropological Theory,North Terrace Campus,Semester 2,2018
ANTH 4002,Honours Anthropology Ethnographic Fieldwork,North Terrace Campus,Semester 2,2018
ANTH 4002,Honours Anthropology Ethnographic Fieldwork,North Terrace Campus,Semester 1,2018
ANTH 4003,Honours Anthropology Thesis,North Terrace Campus,Semester 2,2018
ANTH 4003,Honours Anthropology Thesis,North Terrace Campus,Semester 1,2018
ANTH 1104,Culture & Society: Foundations of Anthropology,North Terrace Campus,Semester 1,2017
ANTH 1105,Anthropology of Everyday Life,North Terrace Campus,Semester 2,2017
ANTH 2036,Anthropology of Conflict and Crisis,North Terrace Campus,Semester 1,2017
ANTH 2041,"Popular Culture: Passion, Style, Vibe",North Terrace Campus,Semester 2,2017
ANTH 2042,Consuming Passions: Anthropology of Food and Drink,North Terrace Campus,Summer,2017
