code,title,location
AAR410,Critical Creative Research Methods,Burwood (Melbourne)
AAR412,Honours Research Theory A,Burwood (Melbourne)
AAR413,Honours Literature Discipline Unit,Burwood (Melbourne)
AAR414,Honours Writing Discipline Unit,Burwood (Melbourne)
AAR422,Honours Research Theory B,Burwood (Melbourne)
ACA100,Introductory Creative Studio 1A,Burwood (Melbourne)
ACA101,Introductory Creative Studio 1B,Burwood (Melbourne)
ACA201,Production Design for Screen and Performance,Burwood (Melbourne)
ACA202,Acting and Directing for Screen,Burwood (Melbourne)
ACA203,The Art and Design of Sound,Burwood (Melbourne)
ACA401,Creative Studio A,Burwood (Melbourne)
ACA410,Contemporary Debates in the Creative Arts,Burwood (Melbourne)
ACA411,Methods and Design for Creative Arts Research,Burwood (Melbourne)
ACA412,"Transgressive Acts in Cinema, Art, Performance",Burwood (Melbourne)
ACA491,Research Project 1,Burwood (Melbourne)
ACA492,Research Project 2,Burwood (Melbourne)
ACA493,Research Project 3,Burwood (Melbourne)
ACA701,Creative Studio A,Burwood (Melbourne)
ACA702,Creative Studio B,Burwood (Melbourne)
ACA703,Advanced Creative Research Project A,Burwood (Melbourne)
ACA704,Advanced Creative Research Project B,Burwood (Melbourne)
ACA710,Contemporary Debates in the Creative Arts,Burwood (Melbourne)
ACA711,Methods and Design for Creative Arts Research,Burwood (Melbourne)
ACA712,"Transgressive Acts in Cinema, Art, Performance",Burwood (Melbourne)
ACA715,Creating Your Arts Business,Burwood (Melbourne)
ACC100,Communication in Everyday Life,Burwood (Melbourne)
ACC200,Freelancing in the Arts,Burwood (Melbourne)
ACC213,Media Law and Ethics,Burwood (Melbourne)
ACC302,"Advertising: Desire, Consumption and the Attention Economy",Burwood (Melbourne)
ACC303,Communication Research Practices,Burwood (Melbourne)
ACC317,Communication and Creative Arts Internship A,Burwood (Melbourne)
ACC318,Communication and Creative Arts Internship B,Burwood (Melbourne)
ACC320,Communication Internship A: Placement,Burwood (Melbourne)
ACC321,Communication Internship B: Career Development,Burwood (Melbourne)
ACC700,Communication and Creative Arts Internship,Burwood (Melbourne)
ACC717,"Law, Media and Communication",Burwood (Melbourne)
ACD103,Dance and Screens,Burwood (Melbourne)
