EDU1CDL,21ST CENTURY DIGITAL LEARNERS 
CAH3HOH,A HISTORY OF HISTORIES 
LIN1UGE,A USER'S GUIDE TO ENGLISH(ES) 
PSY2ACH,"ABNORMAL, CLINICAL AND HEALTH PSYCHOLOGY "
HIS3AAH,ABORIGINAL AUSTRALIAN HISTORY 
ABS4HNJ,ABORIGINAL STUDIES 4 
ABS4HON,ABORIGINAL STUDIES 4 
ABS4HNP,ABORIGINAL STUDIES 4 
EDU0ACC,ACADEMIC COMMUNICATION 
EDU0AC1,ACADEMIC CULTURE 
EDU0DL2,ACADEMIC DIGITAL LITERACY 
LTU0AIM,ACADEMIC INTEGRITY MODULE 
EDU0AC3,ACADEMIC PRESENTATIONS 
EDU0AC2,ACADEMIC WRITING 
BUS1AFX,ACCOUNTING AND FINANCE FUNDAMENTALS 
ACC1AIS,ACCOUNTING AND INFORMATION SYSTEMS 
BUA5FMA,ACCOUNTING FOR MAKING DECISIONS 
BUO5FMA,ACCOUNTING FOR MAKING DECISIONS 
ACC1AMD,ACCOUNTING FOR MANAGEMENT DECISIONS 
ACC5AFM,ACCOUNTING FOR MANAGERS 
ACC3AWP,ACCOUNTING WORK PLACEMENT 
AUD4HES,ACOUSTICS AND PSYCHOACOUSTICS 
DRA3CAM,ACTING FOR THE CAMERA 
CPH5ALP,ACTION LEARNING PROJECT 
PHE5ALS,ACTION LEARNING STUDY 
HUS3ACT,"ACTIVISM AND COMMUNITY: ORGANISE, INITIATE AND EVALUATE "
HUS2ACT,"ACTIVISM AND COMMUNITY: RESEARCH, COLLABORATE, INITIATE "
MID4AEM,ACUTE AND EMERGENCY MATERNITY CARE 
NSG2ANV,ACUTE NURSING 
ORH3ADT,ADULT DENTAL THERAPY 
ACC5AAI,ADVANCED ACCOUNTING ISSUES 
BUS5AAT,ADVANCED ACCOUNTING THEORY 
BCH3AAB,ADVANCED ANALYTICAL BIOCHEMISTRY AND MOLECULAR BIOLOGY 
SCI3AAT,ADVANCED ANALYTICAL TECHNIQUES 
AGR3AAN,ADVANCED ANIMAL NUTRITION 
PHY5ANA,ADVANCED ATOMIC AND NUCLEAR PHYSICS 
AUD5LSB,ADVANCED AUDIOLOGICAL REHABILITATION 
ACC5AAS,ADVANCED AUDITING AND ASSURANCE SERVICES 
MED3PRJ,ADVANCED BIOCHEMISTRY AND MEDICAL BIOLOGY INTERNSHIP 
MED3LAB,ADVANCED BIOCHEMISTRY AND MEDICAL BIOLOGY LABORATORY COURSE 
MAT3AC,ADVANCED CALCULUS AND CURVATURE 
CHE3ADA,ADVANCED CHEMISTRY A 
CHE3ADB,ADVANCED CHEMISTRY B 
CHE3LAB,ADVANCED CHEMISTRY LABORATORY 
NSM5CLA,ADVANCED CLINICAL A 
NSM5CLB,ADVANCED CLINICAL B 
