ABEC313, Early Development 2
ABEP330, Program Planning in ATSI Contexts
ABFS131, Introduction to Academic Numeracies
ABST100, Introducing Indigenous Australia
ABST102," Dharug Country: Presences, Places and People"
ABST202," Culture, Creation and Characters: Indigenous Australian Literature"
ABST203," Reel, Flash and Deadly: Indigenous People in Film and Television"
ABST204, Indigenous Australian Health
ABST205, Transformations in Indigenous Education
ABST302, Indigenous Research Matters
ABST303," Dots, Dance and Drama"
ABST304," Indigenous Politics, Policy and Activism"
ACBE100, Academic Communication in Business and Economics
ACCG100, Accounting in Society
ACCG101, Accounting and Governance
ACCG200, Management Accounting
ACCG224, Financial Accounting and Reporting
ACCG250, Information Systems and Business Processes
ACCG260, Measuring Sustainability
ACCG301, Organisational Planning and Control
ACCG308, Corporate Accounting and Business Advisory
ACCG315, Accountants in the Profession
ACCG326, International Accounting
ACCG330, Strategic Management Accounting
ACCG340, Auditing and Assurance Services
ACCG350, Financial Statement Analysis
ACCG355, Information Systems for Management
ACCG358, Information Systems Audit and Assurance
ACCG365, Blockchain for Business
ACCG399, Accounting in Context
ACSC100, Academic Communication in Science
ACSH100, Academic Communication in the Social Sciences and Humanities
ACST101, Finance 1A
ACST130, Actuarial Business Management
ACST152, Introduction to Actuarial Studies
ACST201, Financial Modelling
ACST202, Mathematics of Finance
ACST212, Combinatorial Probability
ACST252, Finance and Financial Reporting
ACST255, Contingent Payments 1
ACST306, Quantitative Asset and Liability Modelling 1
ACST307, Quantitative Asset and Liability Modelling 2
ACST315, Research/Project
ACST355, Contingent Payments 2
ACST356, Mathematical Theory of Risk
ACST357, General Insurance Pricing and Reserving
ACST358, Survival Models
ACST359, Actuarial Modelling
ACST402, Actuarial Control Cycle 1
ACST403, Actuarial Control Cycle 2
ACST404, Investment Management
AFAS200, Principles of Financial Literacy
AFIN102, Finance 1B
AFIN250, Investments
AFIN253, Financial Management
AFIN270, Stochastic Methods in Applied Finance
AFIN310, Issues in Applied Finance
AFIN312, Issues in Corporate Finance
AFIN315, Research/Project
AFIN328, Financial Risk Management
AFIN329, Derivative Instruments
AFIN331, Quantitative Modelling in Applied Finance
AFIN341, Advanced Finance
AFIN352, Applied Portfolio Management
AFIN353, Advanced Corporate Finance
AFIN450, Research Methodology in Actuarial Studies
AHIS100, Introduction to Ancient Greek History
AHIS108, Ancient Greek A
AHIS110, Introduction to Roman History: The Republic in Crisis
AHIS118, Latin A
AHIS120," Antiquity's Heirs: Barbarian Europe, Byzantium, and Islam"
AHIS140, Myth in the Ancient World
AHIS150, The Archaeology of Ancient Israel and the Near East
AHIS158, Ancient Hebrew A
AHIS168, Coptic Egyptian A
AHIS170, Egyptian Archaeology: An Introduction
AHIS178, Hieroglyphic Egyptian A
AHIS190, Digging up the Past: An Introduction to Archaeology
AHIS191, World Archaeology
AHIS200, Greek Bronze Age
AHIS202, The Classical Traditions of Thought
AHIS204," Philip II, Alexander the Great, and the Macedonian Empire"
AHIS205, Introduction to Museum Practice
AHIS209, Ancient Greek B
AHIS211, Ciceronian Rome
AHIS219, Latin B
AHIS220, The Decline and Fall of the Roman Empire
AHIS230, Archaeology and Society: Archaeological Evidence
AHIS250, From Ur to Babylon: A History of Israel from Abraham to the Babylonian Exile
AHIS251, The New Testament in its Times
AHIS253," Pagans, Jews and Christians: Athens and Jerusalem"
AHIS255, The Historical Geography of Biblical Lands
AHIS259, Ancient Hebrew B
AHIS261, Egypt in the First Millennium CE
AHIS269, Coptic Egyptian B
AHIS272, Ancient Egyptian Literature
AHIS279, Hieroglyphic Egyptian B
AHIS280, Ancient Egyptian Culture and Society
AHIS281, Ancient Egyptian Art
AHIS290, Landscape Archaeology
AHIS291, Archaeology of Death and Burial
AHIS301, Archaeology of Dalmatia
AHIS305, Athenian Law and Society
AHIS308, Ancient Greek C
AHIS309, Ancient Greek D
AHIS310, Early Rome
AHIS312, Rome and the Caesars
AHIS313, The City of Rome
AHIS318, Latin C
AHIS319, Latin D
AHIS321, From Constantine to Justinian: Church and State in Late Antiquity
AHIS323," Byzantium in the Age of the Emperors, 3061453AD"
AHIS331, Prehistory to Pompeii: Archaeology in Ancient Italy
AHIS335," Sparta and Greece, Archaic and Classical"
AHIS339," Capstone Unit: Greece, Rome, Late Antiquity"
AHIS340, Women and Gender in the Ancient World
AHIS341, The Hellenistic Age
AHIS342, The Roman Eastern Frontier
AHIS343, Early China: History and Archaeology
AHIS344, Religions along the Silk Road
AHIS345, Ancient Languages Special Topic A
AHIS346, Archaeological Field Work
AHIS349, Ancient Languages Special Topic B
AHIS350, Advanced Reading Unit in Ancient History
AHIS352, Early Christian Literature and Thought
AHIS354, Ancient Israel in its Near Eastern Context
AHIS355, A History of Magic: From the Magi to Merlin
AHIS356, Dialogue of Civilisations: The Near East and Egypt
AHIS357, Material Culture and Museum Studies
AHIS358, Ancient Hebrew C
AHIS368, Coptic Egyptian C
AHIS370, Archaeology of Early Egypt
AHIS371, Egypt in the Old Kingdom
AHIS372, Egypt in the Middle Kingdom
AHIS373, Egypt in the New Kingdom
AHIS377, Hieroglyphic Egyptian C
AHIS380, Ancient Egyptian Religion
AHIS389, Capstone Unit: Ancient Languages
AHIS391, Laboratory Methods of Archaeology
AHIS392, Cultural Heritage
AHIS393, Capstone Unit: Archaeology
AHIS394, Field Methods of Archaeology
AHIS399, Capstone Unit: Egypt and the Near East
AHMG101, Greek Heroes and Heroines: From Achilles to Zorba
ANTH106, Drugs Across Cultures
ANTH107," Saints, Shamans, Cults and Demons: The Anthropology of Contemporary Religions"
ANTH150, Identity and Difference: Introduction to Anthropology
ANTH151, Human Evolution and Diversity
ANTH202, Illness and Healing
ANTH203, Food Across Cultures
ANTH204, Art and Culture
ANTH205, Islam
ANTH206, The Anthropology of Music and Sound
ANTH207, Psychological Anthropology
ANTH221, Development Studies: The Anthropology of International Aid
ANTH222, Stuff Happens: Anthropological Approaches to Global Capitalism
ANTH224," Mad, Bad, Sad: Cross Cultural Perspectives"
ANTH225, PACE: Field School in Anthropology
ANTH300," Pacific Cultures: Kings, Cannibals and Other Mysteries"
ANTH301, India: Power and Performance
ANTH302, The Anthropology of Politics and Power
ANTH303, Anthropology of the City
ANTH304, Ecological Anthropology: Body and Place
ANTH305, Contemporary Indigenous Australia
ANTH307, Culture Myth and Symbolism
ANTH321," Globalisation, Religion and Conflict"
ANTH322," Culture, Health and Sexuality in the Developing World"
ANTH323, Culture and Human Rights
ANTH324, Doing Ethnography
ANTH330, Anthropology of Law
ASTR170, Introductory Astronomy: Our Place in the Universe
ASTR178, Other Worlds: Planets and Planetary Systems
ASTR278, Advanced Astronomy
ASTR310, Frontiers of Astronomy and Astrophysics
ASTR377, Astrophysics
ASTR378, General Relativity
BBA102, Principles of Management
BBA111, Organisational Behaviour
BBA220, Entrepreneurship and New Venture Management
BBA280, Global Business Models and Structures
BBA310, Leadership in Management
BBA315, Business Forecasting
BBA320, Asian Business Environment
BBA340, Cross Cultural Management
BBA350, Strategic Management
BBA360, Business Project
BIOL108, Human Biology
BIOL114, Organisms to Ecosystems
BIOL115, Genes to Organisms
BIOL116, Biology in Practice
BIOL122, Biological Basis of Behaviour
BIOL188, Advanced Science (Biology) 1
BIOL206, Genetics
BIOL227, Ecology
BIOL228, Diversity of Life
BIOL229, Life Processes
BIOL235, Experimental Design and Data Analysis for Biology
BIOL242, Marine Environmental Issues
BIOL247, Systems Physiology
BIOL257, Neurophysiology
BIOL260, Science of Sex
BIOL262, Evolution
BIOL263, History of Life
BIOL316, Invertebrate Biology
BIOL328, Animal Behaviour
BIOL334, Evolutionary and Conservation Genetics
BIOL345, Human Genetics and Evolutionary Medicine
BIOL347, Plant Biology
BIOL349, Biodiversity and Conservation
BIOL364, Symbiosis in Health and Disease
BIOL368, Evolutionary Ecology
BIOL369, Vertebrate Evolution
BIOL373, Aquatic Ecosystems
BIOL376, Advanced Human Physiology
BIOL379, Reef Evolution and Dynamics
BIOL381, Palaeobiology
BIOL386, Biology Special Interest Project
BIOL388, Advanced Science (Biology) 3
BIOL391, Biological Sciences Capstone
BIOL399, Special Interest Topics in Biology
BUS201, Introduction to Global Business
BUS202, International Business Operations
BUS301, Global Business Strategy
BUS303, International Business Project
BUS305, Global Business and Environmental Risk
BUSL100, Global Legal Frameworks for a Sustainable Planet
BUSL201, Law in Australian Society
BUSL204, Business Ethics and Risk Management
BUSL251, Business and Corporations Law
BUSL301, Corporations Law
BUSL305, Global Trade Law
BUSL315, Cybersecurity & Privacy: Implications for Business & Law
BUSL320, Taxation Law and Practice
BUSL377, Japanese Trade Law
BUSL388, China Trade and Investment Law
CBMS104, Biomolecules
CBMS107, Foundations of Chemical and Biomolecular Sciences 1
CBMS108, Foundations of Chemical and Biomolecular Sciences 2
CBMS123," Alchemy, Drugs and the Quest for Immortality"
CBMS188, Advanced Chemistry and Biomolecular Science I
CBMS200, Analysis and Measurement
CBMS201, Biochemistry and Cell Biology
CBMS202, Microbiology and Molecular Biology
CBMS203, Synthesis
CBMS235, Engaging the Community in Science
CBMS303, Advanced Synthesis
CBMS304, Organic and Biological Chemistry B
CBMS306, Medicinal Chemistry
CBMS307, Physical Chemistry
CBMS308, Advanced Analysis
CBMS330, Chemical and Biomolecular Sciences Capstone
CBMS334, Macromolecules
CBMS335, Applied and Medical Microbiology
CBMS336, Molecular Biology and Genomics
CBMS337, Advanced Biochemistry and Cell Biology
CBMS389, Advanced Chemistry and Biomolecular Science III
CHIN201, Reading China
CHIN301, Social Issues in China Today
CHIR113, Chiropractic Sciences 1
CHIR114, Chiropractic Sciences 2
CHIR213, Chiropractic Sciences 3
CHIR214, Chiropractic Sciences 4
CHIR315, Chiropractic Science 5
CHIR316, Chiropractic Science 6
CHIR322, Foundations of Clinical Practice
CHN104, Introductory Chinese I
CHN105, Introductory Chinese II
CHN110, Introductory Chinese III
CHN112, Chinese Calligraphy
CHN113, Basic Spoken Chinese
CHN148, Chinese for Heritage Learners I
CHN149, Chinese for Heritage Learners II
CHN156, Introduction to Chinese Culture (Background Speakers)
CHN157, Contemporary China
CHN165, Introductory Chinese Short Term Residential Program
CHN208, Traditional Chinese Culture and Society I (Background Speakers)
CHN209, Traditional Chinese Culture and Society II (Background Speakers)
CHN212, Traditional Chinese Thought
CHN232, Intermediate Chinese I
CHN233, Intermediate Chinese II
CHN252, EnglishChinese Translation I
CHN253, ChineseEnglish Translation I
CHN265, Intermediate Chinese Short Term Residential Program
CHN320, Advanced Chinese I
CHN321, Advanced Chinese II
CHN330, The Chinese Classics
CHN331, History of Chinese Art
CHN340, HSK Chinese Proficiency Test
CHN341, Chinese Capstone Unit
CHN365, Advanced Chinese Short Term Residential Program
CHN385, EnglishChinese Translation II
CHN386, ChineseEnglishChinese Interpreting I (Paraprofessional level)
CHN387, ChineseEnglish Translation II
CHN388, ChineseEnglishChinese Interpreting II (Paraprofessional level)
COGS100, Introduction to Cognitive and Brain Sciences
COGS101, Delusions and Disorders of the Mind and Brain
COGS202, Cognitive Neuroscience
COGS210, Memory
COGS301, Current Problems in Cognitive Science
COGS399, Cognitive Science in the Real World
COMP107, Introduction to Cyber Security
COMP111, Introduction to Video Games
COMP115, Introduction to Computer Programming
COMP125, Fundamentals of Computer Science
COMP188, Enrichment Topics in Computing
COMP202, Systems Programming
COMP225, Algorithms and Data Structures
COMP229, ObjectOriented Programming Practices
COMP247, Data Communications
COMP249, Web Technology
COMP255, Software Engineering
COMP257, Data Science
COMP260, Game Design
COMP329, Artificial Intelligence
COMP330, Computer Graphics
COMP332, Programming Languages
COMP333, Algorithm Theory and Design
COMP335, Distributed Systems
COMP336, Big Data
COMP343, Cryptography and Information Security
COMP344, ECommerce Technology
COMP347, Computer Networks
COMP348, Document Processing and the Semantic Web
COMP350, Special Topics in Computing and Information Systems
COMP352, Videogames Project
COMP353, Research Topic in Computing and Information Systems
COMP388, Advanced Topics in Computing and Information Systems
COMP410, Software Engineering Research Thesis A
COMP420, Software Engineering Research Thesis B
COMP430, Software Engineering Practices
COMP434, Advanced Software Engineering
CRO108, Croatian Culture and Civilisation
CRO150, Introductory Croatian I
CRO155, Introductory Croatian II
CRO161, Introductory Croatian III
CRO180, Introductory Croatian Short Term Residential Program
CRO230, Croatian Literature
CRO250, Intermediate Croatian I
CRO255, Intermediate Croatian II
CRO280, Intermediate Croatian Short Term Residential Program
CRO330," Croatian Drama, Theatre, Film and Media"
CRO350, Advanced Croatian I
CRO355, Advanced Croatian II
CRO380, Advanced Croatian Short Term Residential Program
CRO460, Advanced Croatian III
CRO465, Advanced Croatian IV
CROA240, Croatian Migrations and Transnational Identities
CUL120, Living Culture
CUL221, Australian Film and Television
CUL223," Visual Countercultures: Graffiti, Kitsch and Conceptual Art"
CUL230, Performance and Popular Media
CUL233, Theatre and Performance Practice
CUL260," Health, Bodies, Media"
CUL321, Racialised Punishment and the Construction of Nation
