career,campus,code,eftsl,title,band_id,credit
Undergraduate,East Gippsland TAFE Bairnsdale,ACCT1044,0.125,Accounting in Organisations and Society,3A,12
Undergraduate,East Gippsland TAFE Bairnsdale,BIOL1214,0.125,Biomedical and Physical Sciences 2,2,12
Undergraduate,East Gippsland TAFE Bairnsdale,BUSM2294,0.125,Business Case Study,3A,12
Undergraduate,East Gippsland TAFE Bairnsdale,ACCT2087,0.125,Business Frameworks,3A,12
Undergraduate,East Gippsland TAFE Bairnsdale,ACCT2088,0.125,Business Simulation Game,3A,12
Undergraduate,East Gippsland TAFE Bairnsdale,NURS2002,0.125,Crisis Care Nursing,P1,12
Undergraduate,East Gippsland TAFE Bairnsdale,BAFI2074,0.125,Investment and Finance,3A,12
Undergraduate,East Gippsland TAFE Bairnsdale,BUSM3293,0.125,Leadership and Management,3A,12
Undergraduate,East Gippsland TAFE Bairnsdale,BUSM2285,0.125,Leadership and Management Skills,3A,12
Undergraduate,East Gippsland TAFE Bairnsdale,NURS2026,0.125,Medical Nursing,P1,12
Undergraduate,East Gippsland TAFE Bairnsdale,NURS1128,0.125,Medical Surgical Nursing,P1,12
Undergraduate,East Gippsland TAFE Bairnsdale,BUSM2283,0.125,Organisations and their Environments,3A,12
Undergraduate,East Gippsland TAFE Bairnsdale,NURS2036,0.125,Surgical Nursing,P1,12
Undergraduate,East Gippsland TAFE Bairnsdale,BUSM2367,0.125,The Business Enterprise 1,3A,12
Undergraduate,East Gippsland TAFE Bairnsdale,BUSM2370,0.125,The Business Enterprise 2,3A,12
Undergraduate,RMIT Flight Training - Bendigo,AERO2616,0.125,Commercial Pilot Licence Flying,2,12
Undergraduate,RMIT Flight Training - Bendigo,AERO2617,0.125,Commercial Pilot Licence Theory,2,12
Undergraduate,RMIT Flight Training - Bendigo,AERO2620,0.125,Flying to Instructor rating,2,12
Undergraduate,RMIT Flight Training - Bendigo,AERO2622,0.125,Flying to Instrument rating,2,12
Undergraduate,RMIT Flight Training - Bendigo,AERO2618,0.125,Flying to Private Pilot Licence,2,12
Undergraduate,RMIT Flight Training - Bendigo,AERO2619,0.125,Flying to Recreational Pilot Licence,2,12
Undergraduate,RMIT Flight Training - Bendigo,AERO2621,0.25,Instructor Theory,2,24
Undergraduate,RMIT Flight Training - Bendigo,AERO2627,0.125,Introduction to Commercial Pilot Licence,2,12
Undergraduate,RMIT Flight Training - Bendigo,AERO2623,0.125,Theory to Instrument rating,2,12
Undergraduate,RMIT Flight Training - Bendigo,AERO2624,0.125,Theory to Private Pilot Licence,2,12
Undergraduate,RMIT Flight Training - Bendigo,AERO2625,0.125,Theory to Recreational Pilot Licence,2,12
Postgraduate,Brunswick Campus,MANU2154,0.125,Advanced Textile Materials and New Technologies,2,12
Postgraduate,Brunswick Campus,TCHE2588,0.125,Cross-Cultural Teaching and Learning,P1,12
Postgraduate,Brunswick Campus,GRAP2389,0.125,Digital Communication for Fashion,1,12
Postgraduate,Brunswick Campus,BUSM4366,0.125,E-Commerce for Fashion,3A,12
Postgraduate,Brunswick Campus,GRAP2564,0.125,Ethical and Sustainable Practices for Fashion and Textiles,1,12
Postgraduate,Brunswick Campus,GRAP2792,0.125,Fabric to Fashion Essentials,1,12
Postgraduate,Brunswick Campus,GRAP2794,0.125,Fabric to Fashion Innovation Studio,1,12
Postgraduate,Brunswick Campus,MANU2227,0.25,Fabric to Fashion Product Knowledge,2,24
Postgraduate,Brunswick Campus,MKTG1314,0.125,Fashion Brand Management,1,12
Postgraduate,Brunswick Campus,BUSM4781,0.125,Fashion Business Management,3A,12
Postgraduate,Brunswick Campus,MKTG1290,0.125,Fashion Buying and Merchandise Management,3A,12
Postgraduate,Brunswick Campus,MKTG1310,0.125,Fashion Entrepreneurship,3A,12
Postgraduate,Brunswick Campus,GRAP2391,0.25,Fashion Entrepreneurship - Major Project,1,24
Postgraduate,Brunswick Campus,GRAP2388,0.125,Fashion Forecasting and Analytics,1,12
Postgraduate,Brunswick Campus,MKTG1291,0.125,Fashion Retail Management Strategies,3A,12
Postgraduate,Brunswick Campus,GRAP2428,0.125,Fashion Venture Creation,1,12
Postgraduate,Brunswick Campus,MKTG1204,0.125,Fashion and Textiles Marketing,3A,12
Postgraduate,Brunswick Campus,GRAP2793,0.125,Fibre to Fabric Essentials,1,12
Postgraduate,Brunswick Campus,MANU2226,0.25,Fibre to Fabric Product Knowledge,2,24
Postgraduate,Brunswick Campus,ONPS2652,0.125,Forensics: Characterising Textile Fibres,2,12
Postgraduate,Brunswick Campus,ONPS2658,0.125,Forensics: Textile Colouration and Colour Change,2,12
Postgraduate,Brunswick Campus,ONPS2654,0.125,Forensics: Textile Use and Damage,2,12
Postgraduate,Brunswick Campus,ONPS2656,0.125,Forensics: Textiles Case Studies,2,12
Postgraduate,Brunswick Campus,BUSM4721,0.125,Global Fashion Enterprise,3A,12
Postgraduate,Brunswick Campus,OMGT2192,0.125,Global Fashion Supply Chains,3A,12
