code,title,meta
AACE1000,Academic Conduct Essentials (ACE),Type:UnitsCredit points:0;Coordinator(s):Jodi NeindorfLevel of study:Undergraduate;Faculty:University of Western AustraliaSchool:LibraryAvailability:Non-standard teaching period;Semester 1;Semester 2;Location:Online;
AACE4000,Academic Conduct Essentials (ACE),Type:UnitsCredit points:0;Coordinator(s):Merrilee AlbatisLevel of study:Postgraduate;Faculty:University of Western AustraliaSchool:LibraryAvailability:Non-standard teaching period;Semester 1;Semester 2;Location:Online;
ACCT1101,Financial Accounting,"Type:UnitsCredit points:6;Coordinator(s):Dr Leo Langa (Semester 1), Ms Nikki Schonfeldt ( Semester 2), Dr Mosha Hossain (Summer School)Level of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level1Area of knowledge:Management and CommerceAvailability:Semester 1;Semester 2;Summer School;Location:UWA (Perth);Albany;"
ACCT2112,Management Accounting,"Type:UnitsCredit points:6;Coordinator(s):Dr Thanes Subraamanniam (Semester 1), Dr Nishant Agarwal (Semester 2), Professor Vincent Chong (Summer School)Level of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Management and CommerceAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;"
ACCT2201,Corporate Accounting,"Type:UnitsCredit points:6;Coordinator(s):Ms Collette Chesters (Semester 1 and Semester 2), Ms Collette Chesters (Summer School)Level of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Management and CommerceAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;"
ACCT2242,Accounting Information Systems,"Type:UnitsCredit points:6;Level of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Management and CommerceAvailability:Not available in 2020;Location:UWA (Perth);"
ACCT2331,Taxation,"Type:UnitsCredit points:6;Coordinator(s):Dr Mark HolubLevel of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Management and CommerceAvailability:Semester 1;Location:UWA (Perth);Albany;"
ACCT3203,Contemporary Managerial Accounting,"Type:UnitsCredit points:6;Coordinator(s):Dr Thanesvary SubraamanniamLevel of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level3Area of knowledge:Management and CommerceAvailability:Semester 2;Location:UWA (Perth);"
ACCT3206,Performance Measurement and Evaluation,"Type:UnitsCredit points:6;Coordinator(s):Dr Stijn MasscheleinLevel of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level3Area of knowledge:Management and CommerceAvailability:Not available in 2020;Location:UWA (Perth);"
ACCT3302,Financial Statement Analysis,"Type:UnitsCredit points:6;Coordinator(s):Dr Thanes SubraamanniamLevel of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level3Area of knowledge:Management and CommerceAvailability:Semester 2;Location:UWA (Perth);Albany;"
