code,title,credit,type
ARTS017,Islamic Culture,6,0
ARTS035,Introduction to Philosophy,6,0
ENVI030,Environmental Science,6,0
GED 010,Academic Study Skills 1,12,0
GED 020,Academic Study Skills 2,6,0
GFP 000,Global Football Program,0,0
LHA 001,Preparing for HSC English,6,0
LHA 002,Controversies in History,6,0
LHA 003,Introduction to Visual Arts,6,0
MATH010,Enabling Mathematics for Engineers,6,0
MATH060,Foundation Mathematics for Business,6,0
MATH070,Foundation Mathematics for Computing,6,0
NOW 001,Academic Literacy,0,0
NOW 002,Numeracy,0,0
NOW 003,Technology for Learning,0,0
NOW 004,Positive Psychology,0,0
PSYC015,Introduction to Psychology,6,0
STEM001,"Sustainable Futures through Maths, Physics and Engineering",6,0
STEM002,Developing Systems to Solve Business Problems,6,0
UNI 001,Year 12 University Preparation Program,0,0
ACCY111,Accounting Fundamentals In Society,6,1
ACCY112,Accounting In Organisations,6,1
ARA 101,Arabic for Beginners 1A,6,1
ARA 102,Arabic for Elementary level users,6,1
ARCH102,Big Questions in Archaeology,6,1
AUST101,Australian Studies: Cultures and Identities,6,1
AUST102,Locating Australia: International Perspectives,6,1
BCM 110,Introduction to Communication and Media,6,1
BCM 111,Global Media and Culture,6,1
BCM 112,Emergent Media,6,1
BCM 113,Media Ethics and Law,6,1
BCM 114,Making Media,6,1
BCM 115,Introduction to Screen Media,6,1
BIOL103,"Molecules, Cells and Organisms",6,1
BIOL104,"Evolution, Biodiversity and Environment",6,1
BIOL105,Functional Biology of Animals and Plants,6,1
BNAN101,Introduction to Bionanotechnology,6,1
BUS 002,Responsible Business Decision-making,6,1
CACS103,Cultural Knowledges,6,1
CACW100,Introduction to Creative Writing,6,1
CACW101,Writing Foundation: Prose and Non-fiction,6,1
CACW103,Editing Foundation,6,1
CACW104,Text and Context,6,1
CACW105,Writing Foundation: Poetry,6,1
CACW106,Writing Foundation: Script,6,1
CAMS101,Music Skills 1,6,1
CAMS102,Music Skills 2,6,1
CAMS103,Introduction to Audio Production,6,1
CAMS104,Introduction to Music Production,6,1
CAMS105,Critical Studies in Music 1,6,1
CAPF103,Acting and Performance 1:  Improvisation and Physical Theatre,6,1
CAPF104,Acting and Performance 2:  Psychological Realism,6,1
CAPF105,Contemporary Theatre and Text,6,1
CAPF107,Voice & Body 1: Performance Presence,6,1
CAPF109,Voice & Body 2: Performance Awareness,6,1
CAPF110,Singing 1,6,1
CAPF111,Stagecraft 1:  Creative Technologies,6,1
CAPF112,Stagecraft 2:  Creative Technologies in Practice,6,1
CAVA105,Visual Arts & Design Foundation 1,12,1
CAVA106,Visual Arts & Design Foundation 2,12,1
CAVA107,100 Objects That Changed the World,6,1
CAVA111,Visual Arts Studio Workshop A,6,1
CAVA112,Visual Arts Studio Workshop B,6,1
CAVA123,Australian Aboriginal Arts,6,1
CAVA124,Introduction to Photography 1,6,1
CAVA125,Introduction to Photography 2,6,1
CAVA126,Introduction to Photography Intensive,6,1
CHEM101,Chemistry IA: Introductory Physical and General Chemistry,6,1
CHEM102,Chemistry 1B: Structure and Reactivity of Molecules for Life,6,1
CHEM103,Chemistry For Engineering,6,1
CHEM104,Foundation Chemistry: Properties of Matter,6,1
CHEM105,Foundation Chemistry: Reactions and Structures,6,1
CHEM106,Foundation Chemistry: Properties and Reactivity of Matter,6,1
COMM101,Principles of Responsible Business,6,1
COMM121,Statistics for Business,6,1
COMM191,Introductory Global Internship,0,1
CRL 100,Career Ready Learning,6,1
CSIT110,Fundamental Programming with Python,6,1
CSIT111,Programming Fundamentals,6,1
CSIT113,Problem Solving,6,1
CSIT114,System Analysis,6,1
CSIT115,Data Management and Security,6,1
CSIT121,Object Oriented Design and Programming,6,1
CSIT127,Networks and Communications,6,1
CSIT128,Introduction to Web Technology,6,1
CSIT180,Introductory Global Internship,0,1
CST 120,Culture and Society,6,1
CST 130,Cultures in Context,6,1
ECON100,Economic Essentials for Business,6,1
ECON102,Economics and Society,6,1
EDLE100,Learning in Higher Education,6,1
EDLL101,Language and Learning,6,1
EDMM101,Mathematics Foundations,6,1
EDPD100,Introduction to the Profession,6,1
EDPH101,About Young People,6,1
EDPH102,Meanings of Health,6,1
EDSC102,Science Content Knowledge for Educators,6,1
EDSO101,Education and Society,6,1
EESC101,Planet Earth,6,1
EESC102,Earth's Interconnected Spheres,6,1
EESC103,Earth's Dynamic Surface,6,1
EESC105,Introductory Geospatial Analysis,6,1
ELL 110,Language as a Cultural Tool,6,1
ELL 151,Effective Spoken Communication (NESB),6,1
ELL 152,Effective Written Communication (NESB),6,1
ELL 182,Effective Academic Writing,6,1
ENGG100,Engineering Computing and Analysis,6,1
ENGG102,Fundamentals of Engineering Mechanics,6,1
ENGG103,Materials in Design,6,1
ENGG104,Electrical Systems,6,1
ENGG105,Engineering Design for Sustainability,6,1
ENGL120,Understanding Literature and Film,6,1
ENGL131,Australian Fiction and Film,6,1
EYCA102,Creative Arts Education in Early Childhood Settings,6,1
EYFE102,"Childhood Sociology: Children in the Family, Community and Society",6,1
EYHS101,"Children’s Health, Safety and Wellbeing",6,1
EYIT101,Engaging with Technology in Early Childhood Education,6,1
EYLL102,Language and Literacy in Early Childhood,6,1
EYMP101,Early Childhood Contexts,6,1
EYPD102,Observing Children,6,1
EYPP101,Play and Pedagogy,6,1
EYPP112,Professional Partnerships,6,1
FIN 111,Introductory Principles of Finance,6,1
FREN151,French for Beginners 1,6,1
FREN152,French for Beginners 2,6,1
GEOG121,Life in a Globalising World,6,1
GEOG122,Living in a Material World,6,1
GEOG123,Indigenous Geographies: Questioning Country,6,1
HAS 115,Chronic Disease Prevention and Control,6,1
HAS 121,Human Development in Social Context,6,1
HAS 125,Public Health Achievements and Challenges,6,1
HAS 130,Social Determinants of Health,6,1
HAS 131,Introducing Crime and Justice,6,1
HAS 135,Global Health Perspectives on Infectious Diseases,6,1
HAS 140,Health Communication,6,1
HAS 160,Food and Society I: The What and Why of Food,6,1
HIST110,The Medieval World and Beyond,6,1
HIST111,Age of Revolutions,6,1
HIST112,Lost Worlds: The 'Big History' of Ancient History,6,1
INDS130,Indigenous Knowledge in Global Contexts,6,1
INDS150,Introduction to Indigenous Australia,6,1
INTS100,Introduction to International Studies,6,1
INTS121,Global Politics and Power,6,1
ITAL151,Italian for Beginners 1,6,1
ITAL152,Italian for Beginners 2,6,1
JAPA141,Beginner Japanese 1,6,1
JAPA142,Beginner Japanese 2,6,1
JRNL101,Media Reporting and Storytelling 1,6,1
JRNL102,Multimedia Reporting and Production,6,1
JRNL103,Social Media Practices in Journalism,6,1
JRNL104,Feature Journalism,6,1
LAW 101,Introduction to Law,6,1
LHA 101,"Introduction to Humanities, Arts and Social Sciences",6,1
LHA 102,Dean's Scholars Seminar,6,1
LLB 100,Foundations of Law A,8,1
LLB 110,Legal Research and Writing,4,1
LLB 120,Law of Contract A,8,1
LLB 130,Criminal Law and Process A,8,1
LLB 140,Advocacy Skills,2,1
LLB 150,Communication Skills,2,1
LLB 160,Foundations of Law B,8,1
LLB 170,Law of Contract B,8,1
LLB 180,Criminal Law and Process B,8,1
LLB 197,Lawyers and Australian Society,6,1
LLB1100,Foundations of Law,6,1
LLB1115,Legal Skills,6,1
LLB1120,Law of Contract A,6,1
LLB1130,Criminal Law and Procedure A,6,1
LLB1160,Interpreting the Law,6,1
LLB1170,Law of Contract B,6,1
LLB1180,Criminal Law and Procedure B,6,1
LLB1197,Ethics and Professional Responsibility,6,1
MAND151,Chinese (Mandarin) for Beginners 1,6,1
MAND152,Chinese (Mandarin) for Beginners 2,6,1
MAND161,Chinese (Mandarin) for Character Background Students (CBS) 1,6,1
MAND162,Chinese (Mandarin) for Character Background Students (CBS) 2,6,1
MARK101,Marketing Principles,6,1
MATH100,Introduction to Mathematics,6,1
MATH110,Advanced Mathematics,6,1
MATH123,Discrete Mathematics and Difference Equations,6,1
MATH131,Essentials of Numeracy and Mathematics for Educators,6,1
MATH132,Unlocking Mathematical Tools for Primary Educators,6,1
MATH141,Foundations of Engineering Mathematics,6,1
MATH142,Essentials of Engineering Mathematics,6,1
MATH151,General Mathematics 1A,6,1
MATH179,Introductory Business Mathematics,6,1
MATH187,Mathematics 1:  Algebra and Differential Calculus,6,1
MATH188,Mathematics 2:  Series and Integral Calculus,6,1
MEDA102,Alternative Cinemas,6,1
MEDI100,Human Structure and Function,6,1
MEDI111,Introduction to Anatomy and Physiology I,6,1
MEDI112,Introduction to Anatomy and Physiology II,6,1
MEDI113,"Physiology of Sport, Exercise and Physical Activities",6,1
MEDI128,Reasoning in Medical Ethics and Physical Sciences,6,1
MEDI142,Introduction to Aboriginal & Torres Strait Islander Health,6,1
MEDI143,Working effectively in Aboriginal & Torres Strait Islander Health,6,1
MEDI150,Fundamental Concepts in Food and Nutrition,6,1
MEDI151,Healthy Ageing,6,1
MEDI160,Scientific Literacy,6,1
MGNT102,Business Communications,6,1
MGNT110,Introduction to Management,6,1
NMIH102,Patterns of Knowing in Nursing,6,1
NMIH105,Primary Health Care Nursing,6,1
NMIH108,Introduction to Health Behaviour Change,6,1
OPS 113,Business Oriented Information Systems,6,1
PHIL106,"Media, Art and Society",6,1
PHIL107,Introduction to Philosophy,6,1
PHIL151,Logic: The Art of Reasoning,6,1
PHYS114,Analysis and modelling of physical systems,6,1
PHYS141,Fundamentals of Physics A,6,1
PHYS142,Fundamentals of Physics B,6,1
PHYS143,Physics For Engineers,6,1
PHYS154,"Energy, Climate Change and Human Society",6,1
PHYS155,Introduction to Biomedical Physics,6,1
POL 150,"Government, Power and Political Systems",6,1
PSYC101,Introduction to Behavioural Science,6,1
PSYC116,Psychology of Physical Activity and Health,6,1
PSYC120,Critical Thinking and Communication Skills in Psychology,6,1
PSYC121,Foundations of Psychology A,6,1
PSYC122,Foundations of Psychology B,6,1
PSYC123,Research Methods and Statistics,6,1
PSYS150,Foundations of Human Development and Behaviour,6,1
SCED101,Conceptions of Science,6,1
SCIE103,Climate Change,6,1
SCII101,Global Challenges in Science,6,1
SMAH001,An Introduction to University Science,6,1
SNUG101,Fundamentals of Nursing,6,1
SNUG102,Nursing as a Profession,6,1
SNUG103,Anatomy and Physiology for Nurses,6,1
SNUG104,Workplace Experience 1,6,1
SNUG105,Person and Family Centred Care,6,1
SNUG106,Nursing care for Older People,6,1
SNUG107,Primary Health Care,6,1
SNUG108,Workplace Experience 2,6,1
SOC 103,Introduction to Sociology,6,1
SOC 104,Investigating Society,6,1
SOWK101,Introduction to Social Work,6,1
SOWK140,Working with Service Users and Carers,6,1
SPAN151,Spanish for Beginners 1,6,1
SPAN152,Spanish for Beginners 2,6,1
STAT101,Introduction to Statistics,6,1
STC 100,"Environment, Technology and Culture",6,1
STS 112,Changing Perceptions of Nature,6,1
VAD 190,Design Principles,6,1
VAD 192,Design Practice,6,1
VCD 101,Introduction to Visual Communication Design,6,1
VCD 102,Interaction Design Fundamentals,6,1
WCIV101,The Great Conversation,6,1
WCIV102,Classics of Ancient Greece,6,1
WCIV103,"Wisdom, Truth and Reason",6,1
WCIV104,Aesthetics: Masterpieces of Western Art and Architecture,6,1
WCIV105,Classics of the Roman Republic and Empire,6,1
WCIV106,The Good Life and the Virtues,6,1
XINT100,Cross Institutional,0,1
ACCY200,Financial Accounting IIA,6,2
ACCY201,Financial Accounting IIB,6,2
ACCY211,Management Accounting II,6,2
ACCY228,Taxation for Financial Planners,6,2
ACCY231,Information Systems in Accounting,6,2
AENG200,History of Architectural Design,6,2
AENG201,Architectural Engineering Design 1: Net Zero Energy Houses,6,2
ARCH202,World Archaeology,6,2
BCM 206,Future Networks,6,2
BCM 210,Research Practices in Media and Communication,8,2
BCM 212,Understanding Research Practice,6,2
BCM 214,Digital and Social Innovation,6,2
BCM 215,Game Media Industries,6,2
BCM 216,Transmedia Storytelling,6,2
BCM 217,Documentary,6,2
BCM 222,Global Media and Social Justice,6,2
BCM 240,"Media, Audience, Place",8,2
BCM 241,Media Ethnographies,6,2
BCM 289,Transnational Media and Culture Industries,6,2
BIOL213,Principles of Biochemistry,6,2
BIOL214,The Biochemistry of Energy and Metabolism,6,2
BIOL215,Introductory Genetics,6,2
BIOL240,Biodiversity of Marine and Freshwater Organisms,6,2
BIOL241,Biodiversity of Terrestrial Organisms,6,2
