code,title,credit,location,area
ACCT1501,Accounting and Financial Management 1A,6,Sydney,Accounting
ACCT1511,Accounting and Financial Management 1B,6,Sydney,Accounting
ACCT2101,Industry Placement 1,12,Sydney,Accounting
ACCT2507,Introduction to Accounting Research,6,Sydney,Accounting
ACCT2522,Management Accounting 1,6,Sydney,Accounting
ACCT2542,Corporate Financial Reporting and Analysis,6,Sydney,Accounting
ACCT2672,Accounting Analytics for Business Decision Making,6,Sydney,Accounting
ACCT3202,Industry Placement 2,6,Sydney,Accounting
ACCT3303,Industry Placement 3,6,Sydney,Accounting
ACCT3563,Issues in Financial Reporting and Analysis,6,Sydney,Accounting
ACCT3583,Management Accounting 2,6,Sydney,Accounting
ACCT3601,Global Financial Reporting and Analysis,6,Sydney,Accounting
ACCT3610,Business Analysis and Valuation,6,Sydney,Accounting
ACCT3625,"Integrated Reporting, Integrated Thinking and Value Creation",6,Sydney,Accounting
ACCT3708,Auditing and Assurance Services,6,Sydney,Accounting
ACCT4796,Thesis (Accounting) A,6,Sydney,Accounting
ACCT4797,Thesis (Accounting) B,6,Sydney,Accounting
ACCT4798,Thesis (Accounting) C,12,Sydney,Accounting
ACCT4809,Current Developments in Auditing Research,6,Sydney,Accounting
ACCT4851,Current Developments in Accounting Research - Financial,6,Sydney,Accounting
ACCT4852,Current Developments in Accounting Research - Managerial,6,Sydney,Accounting
ACCT4897,Seminar in Research Methodology,6,Sydney,Accounting
ACCT5906,Financial Literacy for Business Decisions,6,Sydney,Accounting
ACCT5907,International Financial Statement Analysis,6,Sydney,Accounting
ACCT5908,Auditing and Assurance Services,6,Sydney,Accounting
ACCT5909,Current Developments in Auditing Research,6,Sydney,Accounting
ACCT5910,Business Analysis and Valuation,6,Sydney,Accounting
ACCT5919,Business Risk Management,6,Sydney,Accounting
ACCT5920,Managing Intangible Resources,6,Sydney,Accounting
ACCT5925,"Integrated Reporting, Integrated Thinking and Value Creation",6,Sydney,Accounting
ACCT5930,Financial Accounting,6,Sydney,Accounting
ACCT5931,Strategic Management Accounting,6,Sydney,Accounting
ACCT5942,Corporate Accounting and Regulation,6,Sydney,Accounting
ACCT5943,Advanced Financial Reporting,6,Sydney,Accounting
ACCT5949,Managing Agile Organisations,6,Sydney,Accounting
ACCT5951,Current Developments in Accounting Research - Financial,6,Sydney,Accounting
ACCT5952,Current Developments in Accounting Research - Managerial,6,Sydney,Accounting
ACCT5955,Management Control Systems in Contemporary Contexts,6,Sydney,Accounting
ACCT5961,Reporting for Climate Change and Sustainability,6,Sydney,Accounting
ACCT5967,Special Topic in Accounting,6,Sydney,Accounting
ACCT5972,Accounting Analytics for Business Decision Making,6,Sydney,Accounting
ACCT5996,Management Accounting and Business Analysis,6,Sydney,Accounting
ACCT5997,Seminar in Research Methodology,6,Sydney,Accounting
ACCT5998,Project Seminar,6,Sydney,Accounting
ACCT5999,Project Report,12,Sydney,Accounting
ACCT5000,Research Accounting Full-Time,12,Sydney,Accounting
ACCT5001,Research Accounting Part-Time,6,Sydney,Accounting
ACCT5994,Thesis Accounting (Full-time),12,Sydney,Accounting
ACCT6001,P/T Masters Research Thesis Accounting,6,Sydney,Accounting
ACTL1101,Introduction to Actuarial Studies,6,Sydney,Actuarial Studies
ACTL2100,Industrial Training 1 (Co-op),6,Sydney,Actuarial Studies
ACTL2101,Industry Placement 1,12,Sydney,Actuarial Studies
ACTL2102,Foundations of Actuarial Models,6,Sydney,Actuarial Studies
ACTL2111,Financial Mathematics for Actuaries,6,Sydney,Actuarial Studies
ACTL2131,Probability and Mathematical Statistics,6,Sydney,Actuarial Studies
ACTL3141,Actuarial Models and Statistics,6,Sydney,Actuarial Studies
ACTL3142,Actuarial Data and Analysis,6,Sydney,Actuarial Studies
ACTL3151,Life Contingencies,6,Sydney,Actuarial Studies
ACTL3162,General Insurance Techniques,6,Sydney,Actuarial Studies
ACTL3182,Asset-Liability and Derivative Models,6,Sydney,Actuarial Studies
ACTL3191,Superannuation and Retirement Benefits,6,Sydney,Actuarial Studies
ACTL3192,Retirement Saving and Spending Over the Lifecycle,6,Sydney,Actuarial Studies
ACTL3202,Industry Placement 2,6,Sydney,Actuarial Studies
ACTL3303,Industry Placement 3,6,Sydney,Actuarial Studies
ACTL4001,Actuarial Theory and Practice A,6,Sydney,Actuarial Studies
ACTL4002,Actuarial Theory and Practice B,6,Sydney,Actuarial Studies
ACTL4003,Research Methods in Risk and Actuarial Studies,6,Sydney,Actuarial Studies
ACTL4010,Thesis (Actuarial Studies) A,6,Sydney,Actuarial Studies
ACTL4011,Thesis (Actuarial Studies) B,6,Sydney,Actuarial Studies
ACTL4012,Thesis (Actuarial Studies) C,12,Sydney,Actuarial Studies
ACTL4301,Models for Risk Management,6,Sydney,Actuarial Studies
ACTL4302,Risk and Capital Management,6,Sydney,Actuarial Studies
ACTL4303,Asset-Liability Management,6,Sydney,Actuarial Studies
ACTL4305,Actuarial Data Analytic Applications,6,Sydney,Actuarial Studies
ACTL5002,Superannuation and Retirement Benefits,6,Sydney,Actuarial Studies
ACTL5004,Project Report - Actuarial Studies,12,Sydney,Actuarial Studies
ACTL5100,Actuarial Theory and Practice  A,6,Sydney,Actuarial Studies
ACTL5101,Probability and Statistics for Actuaries,6,Sydney,Actuarial Studies
ACTL5102,Financial Mathematics,6,Sydney,Actuarial Studies
ACTL5103,Stochastic Modelling for Actuaries,6,Sydney,Actuarial Studies
ACTL5104,Actuarial Statistics,6,Sydney,Actuarial Studies
ACTL5105,Life Insurance and Superannuation,6,Sydney,Actuarial Studies
ACTL5106,Insurance Risk Models,6,Sydney,Actuarial Studies
ACTL5108,Finance and Financial Reporting for Actuaries,6,Sydney,Actuarial Studies
ACTL5109,Financial Economics for Insurance and Superannuation,6,Sydney,Actuarial Studies
ACTL5110,Actuarial Data and Analysis,6,Sydney,Actuarial Studies
ACTL5200,Actuarial Theory and Practice B,6,Sydney,Actuarial Studies
ACTL5301,Models for Risk Management,6,Sydney,Actuarial Studies
