code,title,type
ACCT11-100,Accounting for Decision Making,Undergraduate
ACCT12-111,Accounting Information Systems,Undergraduate
ACCT12-200,Cost Management Systems,Undergraduate
ACCT13-301,Financial Accounting and Company Reporting,Undergraduate
ACCT13-303,Advanced Financial Accounting & Reporting,Undergraduate
ACCT13-304,Managerial Planning and Control,Undergraduate
ACCT13-305,Auditing,Undergraduate
ACCT13-308,Taxation Practice for Accountants,Undergraduate
ACCT13-311,Financial Analysis and Valuation,Undergraduate
ACSC12-200,Mathematical Statistics,Undergraduate
ACSC12-201,Financial Mathematics,Undergraduate
ACSC13-300,Insurance Models,Undergraduate
ACSC13-301,Contingencies,Undergraduate
ACSC13-304,Stochastic Modelling,Undergraduate
ACSC13-305,Actuarial and Financial Models,Undergraduate
ADVT11-100,Introduction to Advertising,Undergraduate
ADVT11-140,Digital and Experiential Advertising,Undergraduate
ADVT12-200,"Advertising, Copywriting and Direct Response",Undergraduate
ADVT12-241,Understanding Audiences and Media in Advertising,Undergraduate
ADVT12-242,Creativity and Ideation in Advertising and Marketing Communication,Undergraduate
ACCT11-100,Accounting for Decision Making,Undergraduate
ACCT12-111,Accounting Information Systems,Undergraduate
ACCT12-200,Cost Management Systems,Undergraduate
ACCT13-301,Financial Accounting and Company Reporting,Undergraduate
ACCT13-303,Advanced Financial Accounting & Reporting,Undergraduate
ACCT13-304,Managerial Planning and Control,Undergraduate
ACCT13-305,Auditing,Undergraduate
ACCT13-308,Taxation Practice for Accountants,Undergraduate
ACCT13-311,Financial Analysis and Valuation,Undergraduate
ACSC12-200,Mathematical Statistics,Undergraduate
ACSC12-201,Financial Mathematics,Undergraduate
ACSC13-300,Insurance Models,Undergraduate
ACSC13-301,Contingencies,Undergraduate
ACSC13-304,Stochastic Modelling,Undergraduate
ACSC13-305,Actuarial and Financial Models,Undergraduate
ADVT11-100,Introduction to Advertising,Undergraduate
ADVT11-140,Digital and Experiential Advertising,Undergraduate
ADVT12-200,"Advertising, Copywriting and Direct Response",Undergraduate
ADVT12-241,Understanding Audiences and Media in Advertising,Undergraduate
ADVT12-242,Creativity and Ideation in Advertising and Marketing Communication,Undergraduate
ADVT13-101,"Advertising, Branding and Popular Culture",Undergraduate
ADVT13-308,Advertising Art Direction,Undergraduate
ADVT13-322,Advertising Project: Integrated Marketing and Advertising Campaigns,Undergraduate
ADVT13-350,Advertising Internship,Undergraduate
ADVT13-600,Special Topic (1) in Advertising,Undergraduate
ARCH10-123,Design Thinking Through Drawing,Undergraduate
ARCH10-124,Cities: People and Place,Undergraduate
ARCH10-126,Designing for Sustainable Futures,Undergraduate
ARCH10-127,BIM and Documentation,Undergraduate
ARCH10-137,Designing for Climate,Undergraduate
ARCH10-138,Digital Design and Prototyping,Undergraduate
ARCH10-140,Subtractive Fabrication Lab,Undergraduate
ARCH11-111,Architecture Design Studio 1,Undergraduate
ARCH11-112,Design Communication: Architectural Drawing,Undergraduate
ARCH11-113,Design Communication: NURBS Modelling,Undergraduate
ARCH11-114,World Architecture and Urbanism,Undergraduate
ARCH11-116,Architecture Study Tour,Undergraduate
ARCH11-120,Architecture Study Tour,Undergraduate
