code,title,area,credit
GRDE2004 (v.1),3D Application,School of Design and the Built Environment,25
GRDE3003 (v.1),3D Client,School of Design and the Built Environment,25
GRDE3008 (v.1),3D Community,School of Design and the Built Environment,25
GRDE2006 (v.1),3D Creative,School of Design and the Built Environment,25
GRDE1021 (v.1),3D Essentials,School of Design and the Built Environment,25
GRDE2037 (v.2),3D Level Design,School of Design and the Built Environment,25
GRDE3005 (v.1),3D Major,School of Design and the Built Environment,25
GRDE3006 (v.1),3D Presentation,School of Design and the Built Environment,25
GRDE2005 (v.1),3D Process,School of Design and the Built Environment,25
GRDE3004 (v.1),3D Production,School of Design and the Built Environment,25
GRDE3007 (v.1),3D Sustainability,School of Design and the Built Environment,25
GRDE2003 (v.1),3D Technology,School of Design and the Built Environment,25
INTR2001 (v.2),A History of Terrorism and Insurgency,"School of Media, Creative Arts and Social Inquiry",25
PSYT3000 (v.1),Abnormal Psychology,School of Psychology,25
INDH2011 (v.1),Aboriginal and Torres Strait Islander Mental Health First Aid,Centre for Aboriginal Studies,25
MEDA3003 (v.1),Aboriginal Community Engagement,"School of Media, Creative Arts and Social Inquiry",25
MEDA6009 (v.1),Aboriginal Community Engagement,"School of Media, Creative Arts and Social Inquiry",25
SUST5006 (v.2),Aboriginal Sustainability,School of Design and the Built Environment,25
COMS1010 (v.2),Academic and Professional Communications,"School of Media, Creative Arts and Social Inquiry",25
VISA5006 (v.2),Academic Writing in Art and Design,"School of Media, Creative Arts and Social Inquiry",25
MATH1021 (v.1),Accelerated Mathematics for Engineers,Faculty of Science and Engineering,25
MATH5012 (v.1),Accelerated Mathematics for Engineers,Faculty of Science and Engineering,25
OCHS5004 (v.1),Accident Prevention and Safety Management,School of Public Health,25
MKTG3002 (v.2),Account Management,School of Marketing,25
ENST6006 (v.1),Accountability and Reporting for Sustainability,School of Civil and Mechanical Engineering,25
ACCT1000 (v.2),Accounting - The Language of Business,School of Accounting,25
ACCT5021 (v.1),Accounting for Managers,School of Accounting,25
ACCT3003 (v.2),Accounting Modelling and Data Visualisation,School of Accounting,25
ACCT5003 (v.1),Accounting Research Project 1,School of Accounting,25
ACCT5011 (v.2),Accounting Systems in the Digital Age,School of Accounting,25
ACCT3001 (v.2),"Accounting, Behaviour and Control",School of Accounting,25
SPPA5007 (v.1),Acquired Language and Cognitive Communication Disorders,"School of Occ Therapy, Social Work and Speech Path",25
SPPA2008 (v.1),Acquired Language and Cognitive Communication Disorders,"School of Occ Therapy, Social Work and Speech Path",25
THTR2001 (v.1),Acting,"School of Media, Creative Arts and Social Inquiry",25
THTR1001 (v.1),Acting Fundamentals,"School of Media, Creative Arts and Social Inquiry",25
THTR5005 (v.1),Acting Fundamentals,"School of Media, Creative Arts and Social Inquiry",25
ACTL4002 (v.2),Actuarial Asset Liability Management,"School of Elec Eng, Comp and Math Sci (EECMS)",25
ACTL4000 (v.1),Actuarial Control Cycle 1,"School of Elec Eng, Comp and Math Sci (EECMS)",25
ACTL4001 (v.1),Actuarial Control Cycle 2,"School of Elec Eng, Comp and Math Sci (EECMS)",25
ECON1001 (v.1),Actuarial Economics,"School of Elec Eng, Comp and Math Sci (EECMS)",25
ECON5000 (v.1),Actuarial Economics,"School of Elec Eng, Comp and Math Sci (EECMS)",25
ACTL4004 (v.1),Actuarial Risk Management,"School of Elec Eng, Comp and Math Sci (EECMS)",25
STAT4004 (v.1),Actuarial Science Honours Dissertation 1,"School of Elec Eng, Comp and Math Sci (EECMS)",50
STAT4000 (v.1),Actuarial Science Honours Dissertation 1,"School of Elec Eng, Comp and Math Sci (EECMS)",25
STAT4001 (v.1),Actuarial Science Honours Dissertation 2,"School of Elec Eng, Comp and Math Sci (EECMS)",25
MEDI3012 (v.1),Acute Care Cardiopulmonary Science,School of Physiotherapy and Exercise Science,12
GMED6004 (v.1),Acute Care Fundamentals in  Cardiopulmonary Science,School of Physiotherapy and Exercise Science,12
PSYC7011 (v.1),Addictions and Clinical Neuropsychology,School of Psychology,25
LAWS2002 (v.1),Administrative Law,Curtin Law School,25
NURS5049 (v.1),Adolescent Health Nursing Specialisation,"School of Nursing, Midwifery and Paramedicine",25
PSYC3003 (v.1),Adult Developmental Psychology,School of Psychology,25
PSYC7007 (v.1),Adult Psychopathology,School of Psychology,25
COMP5010 (v.1),Advanced Algorithm Design,"School of Elec Eng, Comp and Math Sci (EECMS)",25
PHTY6011 (v.1),Advanced Anatomy and Pathology,School of Physiotherapy and Exercise Science,25
GRDE3015 (v.1),Advanced Animation,School of Design and the Built Environment,25
ECON3007 (v.1),Advanced Applied Economics,School of Economics and Finance,25
ARCH5008 (v.2),Advanced Architectural Systems Research Applications,School of Design and the Built Environment,25
GRDE5002 (v.1),Advanced Art and Design Concepts and Contexts,"School of Media, Creative Arts and Social Inquiry",25
ACCT5037 (v.1) Advanced Audit and Assurance (ACCA),Advanced Audit and Assurance (ACCA),School of Accounting,25
ACCT5025 (v.1),Advanced Auditing Systems,School of Accounting,25
BANK5001 (v.1),Advanced Bank Management,School of Economics and Finance,25
CHEN6002 (v.1),Advanced Biofuels and Biochemicals,"WASM: Minerals, Energy and Chemical Engineering",25
CHEM3007 (v.1),Advanced Biological Chemistry,School of Molecular and Life Sciences (MLS),25
PATH3003 (v.1),Advanced Biomechanics,School of Physiotherapy and Exercise Science,25
FNCE5003 (v.1),Advanced Business Financial Modelling,School of Economics and Finance,25
ISYS3012 (v.1),Advanced Business Technologies,School of Management,25
CHIN3002 (v.1),Advanced Chinese,School of Education,25
CHIN3003 (v.1),Advanced Chinese Developing,School of Education,25
MEDI4003 (v.1),Advanced Clinical Biochemistry,School of Pharmacy and Biomedical Sciences,25
NURS5017 (v.1),Advanced Clinical Nursing Science 1,"School of Nursing, Midwifery and Paramedicine",25
NURS5018 (v.1),Advanced Clinical Nursing Science 2,"School of Nursing, Midwifery and Paramedicine",25
NURS5014 (v.2),Advanced Clinical Practice 1,"School of Nursing, Midwifery and Paramedicine",25
NURS5015 (v.2),Advanced Clinical Practice 2,"School of Nursing, Midwifery and Paramedicine",25
PHYS4000 (v.1),Advanced Computational Quantum Mechanics,"School of Elec Eng, Comp and Math Sci (EECMS)",25
CNCO3002 (v.1),Advanced Computer Communications,"School of Elec Eng, Comp and Math Sci (EECMS)",25
COMP5004 (v.1),Advanced Computing Topics,"School of Elec Eng, Comp and Math Sci (EECMS)",25
STEN4005 (v.1),Advanced Concrete Design and Construction,School of Civil and Mechanical Engineering,25
LAWS1001 (v.1),Advanced Contract Law,Curtin Law School,25
MXEN6000 (v.1),Advanced Control,School of Civil and Mechanical Engineering,25
FNCE5000 (v.1),Advanced Corporate Finance and Theory,School of Economics and Finance,25
COMS6001 (v.1),Advanced Critical Reflection,"School of Media, Creative Arts and Social Inquiry",25
ENGL0003 (v.1),"Advanced Critical Thinking, Research and Writing",Curtin Dubai,25
AGRI3003 (v.1),Advanced Cropping Systems and Precision Agriculture,School of Molecular and Life Sciences (MLS),25
AGRI5006 (v.1),Advanced Cropping Systems and Precision Agriculture,School of Molecular and Life Sciences (MLS),25
ISEC5007 (v.1),Advanced Cyber Crime and Security Enhanced Programming,"School of Elec Eng, Comp and Math Sci (EECMS)",25
ISEC5005 (v.1),Advanced Cyber Security Concepts,"School of Elec Eng, Comp and Math Sci (EECMS)",25
INVE5001 (v.1),Advanced Derivative Securities,School of Economics and Finance,25
MCEN6021 (v.1),Advanced Design For Manufacturing,School of Civil and Mechanical Engineering,25
MEDI4001 (v.1),Advanced Diagnostic Cytology,School of Pharmacy and Biomedical Sciences,25
MKTG6010 (v.1),Advanced Digital Advertising,School of Marketing,25
CMPE3006 (v.1),Advanced Digital Design,"School of Elec Eng, Comp and Math Sci (EECMS)",25
ADVT3002 (v.1),Advanced Digital Media Planning,School of Marketing,25
VISA5010 (v.1),Advanced Discipline Masterclass,"School of Media, Creative Arts and Social Inquiry",25
MEDA6005 (v.2),Advanced Discipline Project 1,"School of Media, Creative Arts and Social Inquiry",50
MEDA6006 (v.1),Advanced Discipline Project 2,"School of Media, Creative Arts and Social Inquiry",50
MIRA5002 (v.1),Advanced Doppler and Vascular Sonography,School of Molecular and Life Sciences (MLS),25
PEEN4003 (v.1),Advanced Drilling Engineering,"WASM: Minerals, Energy and Chemical Engineering",25
PEEN6008 (v.1),Advanced Drilling Practices,"WASM: Minerals, Energy and Chemical Engineering",25
FNCE4001 (v.1),Advanced Econometrics,School of Economics and Finance,25
PWRP5006 (v.1),Advanced Editing and Publishing,"School of Media, Creative Arts and Social Inquiry",25
PWRP3003 (v.1),Advanced Editing and Publishing,"School of Media, Creative Arts and Social Inquiry",25
GEOP4001 (v.1),Advanced Electromagnetic and Potential Field Methods in Geophysics,"WASM: Minerals, Energy and Chemical Engineering",25
ENGR6007 (v.1),Advanced Engineering Research Project,Faculty of Science and Engineering,50
TAXA5003 (v.1),Advanced Estate Planning,Curtin Law School,25
PHTY7017 (v.1),Advanced Evidence Based Continence and Women's Health Physiotherapy,School of Physiotherapy and Exercise Science,25
PHTY7004 (v.2),Advanced Evidence Based Musculoskeletal Physiotherapy,School of Physiotherapy and Exercise Science,25
PHTY7016 (v.1),Advanced Evidence Based Sports Physiotherapy,School of Physiotherapy and Exercise Science,25
PSYC3006 (v.2),Advanced Exercise and Sports Psychology,School of Physiotherapy and Exercise Science,25
HUMB3006 (v.1),Advanced Exercise Physiology,School of Physiotherapy and Exercise Science,25
ACCT5038 (v.1) Advanced Financial Management (ACCA),Advanced Financial Management (ACCA),School of Accounting,25
FNCE5004 (v.1),Advanced Financial Plan Construction,School of Economics and Finance,25
ACCT5024 (v.1),Advanced Financial Theory,School of Accounting,25
MCEN6022 (v.1),Advanced Fluid Mechanics,School of Civil and Mechanical Engineering,25
FOOD6003 (v.1),Advanced Food Chemistry,School of Molecular and Life Sciences (MLS),25
FOOD6004 (v.1),Advanced Food Engineering,School of Molecular and Life Sciences (MLS),25
FOOD6006 (v.1),Advanced Food Processing,School of Molecular and Life Sciences (MLS),25
MCEN6014 (v.1),Advanced Friction Control,School of Civil and Mechanical Engineering,25
MEDI4004 (v.1),Advanced Haematology,School of Pharmacy and Biomedical Sciences,25
MCEN6023 (v.1),Advanced Heat Transfer,School of Civil and Mechanical Engineering,25
PATH4000 (v.1),Advanced Histopathology,School of Pharmacy and Biomedical Sciences,25
ICTE5001 (v.1),Advanced Human Computer Interface,"School of Elec Eng, Comp and Math Sci (EECMS)",25
CVEN4005 (v.1),Advanced Hydraulics and Hydrology,School of Civil and Mechanical Engineering,25
GEOL6002 (v.1),Advanced Hydrogeology,School of Earth and Planetary Sciences (EPS),25
MEDI4009 (v.1),Advanced Immunology,School of Pharmacy and Biomedical Sciences,25
INTR6000 (v.1),Advanced Individual Project 1,"School of Media, Creative Arts and Social Inquiry",50
