academicGrpName,academicGrpDescription,academicCareerName,code,creditPoints,title,campusCode,url
ARG,"Arts, Education and Law Group",Postgraduate,081290,0,Thesis 2,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8091CCJ_P2
ARG,"Arts, Education and Law Group",Postgraduate,081289,0,Thesis 1,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8091CCJ_P1
ARG,"Arts, Education and Law Group",Undergraduate,087876,0,Dissertation 1,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6091CCJ_P1
ARG,"Arts, Education and Law Group",Undergraduate,087876,0,Dissertation 1,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6091CCJ_P1
HTH,Griffith Health,Undergraduate,104944,10,Haematology II,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3009MSC
SCG,Griffith Sciences,Undergraduate,103329,10,Hydrology,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2004ENG
SCG,Griffith Sciences,Undergraduate,103329,10,Hydrology,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2004ENG
ARG,"Arts, Education and Law Group",Postgraduate,100123,40,Thesis 4,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8091CCJ_P4
HTH,Griffith Health,Undergraduate,104942,10,Transfusion Science,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3011MSC
HTH,Griffith Health,Undergraduate,104945,10,Clinical Biochemistry,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3012MSC
HTH,Griffith Health,Undergraduate,104946,20,Clinical Placement I,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=4001MSC
BUS,Griffith Business School,Undergraduate,080270,10,Superannuation and Retirement,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2207AFE
HTH,Griffith Health,Undergraduate,104943,10,Histopathology,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3008MSC
HTH,Griffith Health,Postgraduate,007040,10,Reconceptualising Practice with Children and Youth,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7040HSV
ARG,"Arts, Education and Law Group",Postgraduate,100121,0,Thesis 3,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8091CCJ_P3
HTH,Griffith Health,Postgraduate,086877,0,Dissertation,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8100HSV_P1
HTH,Griffith Health,Postgraduate,101713,40,Dissertation,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7009CSR_P4
HTH,Griffith Health,Undergraduate,104947,20,Clinical Placement II,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=4002MSC
BUS,Griffith Business School,Undergraduate,103881,10,The Politics of Sustainability,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2101GIR
