Code,Title,Previously,Availability,Credit Points
AIS110,Introduction to Indigenous Popular Culture,,"MURDOCHMURDOCH: S1-internal, S1-external, S2-internal, S2-external",3
AIS204,Indigenous Australia and the Nation,2015: 'Australian Indigenous Politics: Historical Contexts and Contemporary Issues',"MURDOCHMURDOCH: S1-internal, S1-external",3
AIS206,"Country, Nature and Identity:  Indigenous Sustainability",2015: AIS306,"MURDOCHMURDOCH: S1-internal, S1-external",3
AIS250,Special Topics in Australian Indigenous Studies,,Not available,3
AIS256,Reading Reconciliation,,"MURDOCHMURDOCH: S2-internal, S2-external",3
AIS307,"Indigeneity, Critical Theory and Social Justice",,"MURDOCHMURDOCH: S2-internal, S2-external",3
AIS308,Working with Indigenous Communities: Internship,2014: AIS208,MURDOCHMURDOCH: S1-internal,3
AIS530,Special Topics in Australian Indigenous Studies,,Not available,3
AIS569,Honours Thesis in Australian Indigenous Studies,2014: AIS4169,"MURDOCHMURDOCH: S1-internal, S2-internal, Y-internal",12
AIS650,Master of Arts by Coursework Dissertation,,"MURDOCHMURDOCH: H-internal, H-external, S1-internal, S1-external, S2-internal, S2-external, Y-internal, Y-external",12
ANS101,Introduction to Livestock Science and Genetics,2016: 'Introduction to Livestock Science'; 2013: 'Animal Production Systems I',"MURDOCHMURDOCH: S2-internal, UA6-internal",3
ANS102,Introduction to the Animal Body,,MURDOCHMURDOCH: S1-internal,3
ANS105,Agricultural Science and Food Production,,"MURDOCHMURDOCH: S1-internal, S1-external",3
ANS207,Crop and Pasture Science,,MURDOCHMURDOCH: S2-internal,3
ANS208,Crop Protection and Plant Biosecurity,,MURDOCHMURDOCH: S2-internal,3
ANS221,Animal Structure and Function,,MURDOCHMURDOCH: S2-internal,3
ANS230,Animal Production Systems II,,MURDOCHMURDOCH: S1-internal,3
ANS301,International Study Tour Opportunities,,MURDOCHMURDOCH: S2N-internal,3
ANS309,"Agricultural Markets, Economics and Policy",,"MURDOCHMURDOCH: S1-internal, S1-external",3
ANS311,Agricultural and Environmental Technologies,,"MURDOCHMURDOCH: S2-internal, S2-external",3
ANS312,Advanced Crop and Pasture Science,,MURDOCHMURDOCH: S2-internal,3
ANS313,Pathology and Diseases of Production Animals,,MURDOCHMURDOCH: S1-internal,3
