code,title,availability,units
AART1010,Foundations in Creative Arts,Not currently offered,10 units
AART1100,Art & Modernism,Semester 1 - 2020 (Newcastle City),10 units
AART1110,Contemporary Art in Context,Semester 2 - 2020 (Newcastle City),10 units
AART1230,Creative Enquiry 2D,Not currently offered,10 units
AART1240,Creative Practice 2D,Not currently offered,10 units
AART1300,Introduction to Spatial Art Practice,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
AART1310,Creative Practice 3D,Not currently offered,10 units
AART1400,Creative Enquiry Photomedia,Not currently offered,10 units
AART1410,Creative Practice Photomedia,Not currently offered,10 units
AART1500,Foundation Drawing and Painting,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
AART1600,Foundation Textiles and Printmedia,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
AART1700,Foundations in Digital Photography,Semester 1 - 2020 (Callaghan)Winter - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
AART1920,Visual Arts Theory,Not currently offered,10 units
AART2100,Australian Art,Semester 2 - 2020 (Newcastle City),10 units
AART2110,Visual Analysis,Semester 1 - 2020 (Newcastle City),10 units
AART2120,Professional Practice,Not currently offered,10 units
AART2230,Interdisciplinary Painting,Semester 2 - 2020 (Callaghan),10 units
AART2240,Photomechanical Methods in Print,Semester 1 - 2020 (Callaghan),10 units
AART2260,Principal Studio 1 (2D or 3D or Photomedia),Not currently offered,10 units
AART2270,Principal Studio 2 (2D or 3D or Photomedia),Not currently offered,10 units
AART2330,Multi-Media Sculpture,Semester 2 - 2020 (Callaghan),10 units
AART2340,Paper as Form,Semester 1 - 2020 (Callaghan),10 units
AART2360,Experimental Ceramics,Semester 1 - 2020 (Callaghan),10 units
AART2420,Digital Processes in Photomedia,Semester 1 - 2020 (Callaghan),10 units
AART2790,Observational and Expressive Drawing,Not currently offered,10 units
AART3010,Writing and Art Theory,Not currently offered,10 units
AART3050,The Arts in Health and Community,Not currently offered,10 units
AART3105,Contemporary Issues in Art,Not currently offered,10 units
AART3115,Aesthetics,Not currently offered,10 units
AART3130,Gallery Library Archive Museum Studies,Semester 1 - 2020 (Newcastle City),10 units
AART3140,Currencies 1: Contemporary Focus on Historical Themes in Art,Not currently offered,10 units
AART3150,Currencies 2: Contemporary Focus on Historical Themes in Art,Not currently offered,10 units
AART3220,"Painting Concepts, Modes and Media",Semester 1 - 2020 (Callaghan),10 units
AART3250,The Print as Object,Semester 2 - 2020 (Callaghan),10 units
AART3260,Principal Studio 3 (2D or 3D or Photomedia),Not currently offered,10 units
AART3270,Principal Studio 4 (2D or 3D or Photomedia),Semester 2 - 2020 (Callaghan),10 units
AART3320,Site Specific Sculpture,Semester 1 - 2020 (Callaghan),10 units
AART3350,Soft Sculpture,Semester 2 - 2020 (Callaghan),10 units
AART3370,Ceramics Production,Semester 2 - 2020 (Callaghan),10 units
AART3420,Digital,Not currently offered,10 units
AART3430,Historical Methods in Photomedia,Semester 2 - 2020 (Callaghan),10 units
AART3441,Image,Not currently offered,10 units
AART3452,Light,Semester 1 - 2020 (Callaghan),10 units
AART3462,Screen – based Photomedia,Semester 1 - 2020 (Callaghan),10 units
AART3470,Silver,Not currently offered,10 units
AART3500,Directed Study,Not currently offered,10 units
AART3780,Experimental Drawing,Winter - 2020 (Callaghan),10 units
AART4110,Honours A,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
AART4120,Honours B,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
AART4130,Honours C,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
AART4140,Honours D,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
Back to top,Back to top,Back to top,Back to top
ABOR1001,Welcome to Critical Indigenous Studies,Semester 1 - 2020 (Online),10 units
ABOR1080,Indigenous Cultural Competency,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ABOR1110,Introduction to Aboriginal Studies,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
ABOR1112,Introduction to Torres Strait Islander Studies,Not currently offered,10 units
ABOR1370,Working with Aboriginal Communities,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ABOR1390,Australian Aborigines and Human Rights,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ABOR1410,Academic and Career Communication,Semester 1 - 2020 (Online),10 units
ABOR1420,Communicating with Aboriginal People Across Genres,Not currently offered,10 units
ABOR1901,Aboriginal Studies,Not currently offered,10 units
ABOR1902,Indigenous Australian Cultural Experience,Not currently offered,10 units
ABOR2000,Foundations of Nursing Aboriginal and Torres Strait Islander people,Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Port Macquarie),10 units
ABOR2001,Development of Inclusive Workplace and Entrepreneurial Identities,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ABOR2022,Aboriginal Cultural Immersion,Not currently offered,10 units
ABOR2241,Aboriginal Political Protest,Not currently offered,10 units
ABOR2242,Aboriginal Labour: Past and Present,Not currently offered,10 units
ABOR2243,"Indigenous People, Global Warming and the Environment",Semester 2 - 2020 (Online),10 units
ABOR2244,Reconciling Australia's Colonial Past and Present,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ABOR2245,Aboriginal People and Law,Not currently offered,10 units
ABOR2330,Traditional Aboriginal Society,Semester 1 - 2020 (Online),10 units
ABOR2381,Aboriginal Workplace Human Rights & the Minority Worker,Not currently offered,10 units
ABOR2440,Aboriginal Health Past and Present,Semester 2 - 2020 (Callaghan),10 units
ABOR2450,Aboriginal Health Practices,Not currently offered,10 units
ABOR2490,Developing Indigenous Leadership in the Global Context,Not currently offered,10 units
ABOR2500,Aboriginal Childbearing,Not currently offered,10 units
ABOR2510,Foundations of Aboriginal and Torres Strait Islander Midwifery Care,Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Port Macquarie),10 units
ABOR2520,Foundations of Aboriginal and Torres Strait Islander Midwifery Care for health care providers,Not currently offered,10 units
ABOR3001,Building Skills for Change,Not currently offered,10 units
ABOR3021,Australian Indigenous Language and Cultural Issues Today,Semester 1 - 2020 (Callaghan),10 units
ABOR3024,Aboriginal Community Development and Advocacy,Semester 1 - 2020 (Online),10 units
ABOR3080,Indigenous Research,Semester 1 - 2020 (Online),20 units
ABOR3251,International Indigenous Comparative Studies,Semester 2 - 2020 (Online),10 units
ABOR3380,Human Rights and the World's Indigenous Communities,Semester 2 - 2020 (Online),10 units
ABOR3440,Indigenous Health Around the World,Semester 2 - 2020 (Online),10 units
ABOR3450,Health Equity for Indigenous Australians Closing the Gap,Not currently offered,10 units
ABOR3500,"Aboriginal Education, Policies and Issues",Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 2 - 2020 (Central Coast)Semester 1 - 2020 (Port Macquarie),10 units
ABOR3999,Aboriginal Professional Experience,Semester 1 - 2020 (Callaghan),20 units
ABOR4010,Aboriginal Studies Honours I,Not currently offered,20 units
ABOR4020,Aboriginal Studies Honours II,Not currently offered,20 units
ABOR4030,Aboriginal Studies Honours III,Not currently offered,20 units
