AMB120,Bridging Cultures
AMB200,Consumer Behaviour
AMB201,Marketing and Audience Analytics
AMB202,Integrated Marketing Communication
AMB204,Purchasing and Procurement
AMB206,Social Marketing
AMB207,Entertainment Marketing
AMB209,Tourism Marketing
AMB210,Importing and Exporting
AMB211,Brand Management
AMB220,Advertising Theory and Practice
AMB240,Marketing Planning and Management
AMB263,Introduction to Public Relations
AMB264,Public Relations Techniques
AMB303,International Logistics
AMB305,Analysis for Consumer Insights
AMB306,Advanced Consumer Research
AMB310,Real World Internships and Projects
AMB318,Advertising Copywriting
AMB319,Media Planning
AMB320,Advertising Management
AMB330,Digital Portfolio
AMB331,Direct Marketing
AMB336,International Marketing
AMB340,Services Marketing
AMB372,Public Relations Planning
AMB373,"Issues, Stakeholders and Reputation"
AMB374,Global Public Relations Cases
AMB375,Internal Communication and Change
AMN400,Consumer Behaviour
AMN401,Integrated Marketing Communication
AMN403,Marketing and Survey Research
AMN404,Readings in Integrated Marketing Communication
AMN405,Decisions and Issues in Integrated Marketing Communication
AMN420,Advertising Management
AMN423,Strategies for Creative Advertising
AMN425,Digital Strategy and Analytics
AMN430,International Logistics Management
AMN431,Marketing Internationally
AMN442,Marketing Management
AMN443,Product and Service Innovation
AMN444,Services Marketing
AMN447,Contemporary Issues in Marketing
AMN460,Corporate and Investor Relations
AMN461,Corporate Media Strategy and Tactics
AMN462,Community Consultation and Engagement
AMN465,Public Relations Management
AMN467,Public Relations Campaigns
AMN468,Issues and Crisis Management
AYB114,Forensic Digital Analysis
AYB115,"Governance, Fraud and Investigation"
AYB200,Financial Accounting
AYB205,Law of Business Entities
AYB219,Taxation Law
AYB221,Accounting Systems and Analytics
AYB225,Management Accounting
AYB227,International Accounting
AYB230,Corporations Law
AYB232,Financial Services Regulation and Law
AYB240,Superannuation and Retirement Planning
AYB250,Personal Financial Planning
AYB301,Audit and Assurance
AYB311,Financial Accounting Issues
AYB320,Advanced Taxation Law
AYB321,Strategic Management Accounting
AYB340,Company Accounting
AYB341,Forensic and Business Analytics
AYN411,Audit and Assurance Services
AYN414,Cost and Management Accounting
AYN416,Financial Accounting Processes
AYN417,Corporate Accounting
AYN418,Advanced Financial Accounting
AYN424,Accountability of Transnational Corporations
AYN438,Taxation Law and Practice
AYN443,Accounting Information Systems and Analytics
AYN453,Forensic Accounting and Data Analytics
AYN454,Fraud and Investigation
AYN456,Business and Corporations Law
AYN457,Financial Planning Principles and Regulation
AYN458,Ethics and Professional Relationships
AYN506,Accounting for Strategic Decision Making
AYN520,Integrated Issues in Professional Practice
BEB110,Organising and Managing Project Team
BEB111,Managing Project Quality
BEB112,Principles of Project Management
BEB113,Managing Project Cost
BEB114,Project Financing
BSB110,Accounting
BSB111,Business Law and Ethics
BSB113,Economics
BSB115,Management
BSB119,Global Business
BSB123,Data Analysis
BSB126,Marketing
BVB101,Foundations of Biology
BVB102,Evolution
BVB201,Biological Processes
BVB202,Experimental Design and Quantitative Methods
BVB203,Plant Biology
BVB204,Ecology
BVB212,Drug Action
BVB214,Vertebrate Life
BVB221,Nature's Pharmacy
BVB301,Animal Biology
BVB304,Integrative Biology
BVB305,Microbiology and the Environment
BVB311,Conservation Biology
BVB313,Population Genetics and Molecular Ecology
BVB317,Principles of Genomics and Biotechnology
BVB321,Invasion Ecology
BVB328,Applications in Biotechnology
BVB330,Evolutionary Genomics
BZB210,Biological Sciences
CAB201,Programming Principles
CAB202,Microprocessors and Digital Systems
CAB203,Discrete Structures
CAB210,People Context and Technology
CAB230,Web Computing
CAB240,Information Security
CAB301,Algorithms and Complexity
CAB302,Software Development
CAB303,Networks
CAB310,Interaction and Experience Design
CAB320,Artificial Intelligence
CAB330,Data and Web Analytics
CAB340,Cryptography
CAB401,High Performance and Parallel Computing
CAB402,Programming Paradigms
CAB403,Systems Programming
CAB420,Machine Learning
CAB430,Data and Information Integration
CAB431,Search Engine Technology
CAB432,Cloud Computing
CAB440,Network and Systems Administration
CAB441,Network Security
CCB101,Media Issues and Debates
CCB102,Multi-Media Design
CCB200,Digital Platforms
CCB201,Australian Media
CCB202,"Social Media, Self and Society"
CCB203,Strategic Speech Communication
