code,title,meta
MNG93215,Human Resource Management (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
ISY93210,Managing Digital Enterprise (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
LAW81210,Business and Corporation Law for Managers (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Introductory        
ACC71210,Business Accounting for Managers (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
SCI91001,Advanced Coastal Biogeochemistry (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
BIO93015,Advanced Marine Ecology (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
MNG93220,Project Procurement and Contract Management (2020),Unit type: Qualifying Unit - CourseworkCredit points: 12AQF level:  9Level of learning:  Advanced        
MNG92305,Leading and Managing Projects (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
MNG92230,"Project Management: Quality, Control and Risk (2020)",Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
MNG91217,Project Management Principles (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
MNG93255,Portfolio and Program Management (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
MNG91218,Project Management: Initiation and Planning (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
BIO92005,Scientific Diving (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
BIO93010,Frontiers in Marine Science I,Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
TCH93001,Teaching and Supervision in a Clinical Setting (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
MNG73006,Internship B (2020),Unit type: UG Coursework UnitCredit points: 24AQF level:  7Level of learning:  Advanced        
MNG73005,Internship A (2020),Unit type: UG Coursework UnitCredit points: 24AQF level:  7Level of learning:  Advanced        
MNG91225,Stakeholder Engagement (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
ENG92050,Engineering for a Sustainable Future (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
MNG92220,Strategic Infrastructure Asset Management (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
CMM93010,"Health Systems, Policies and Practices (2020)",Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
BUS40006,Research Thesis (3 of 3) (2020),Unit type: Hons UnitCredit points: 24AQF level:  8Level of learning:  Advanced        
MAT93010,Research Design and Methods (2020),Unit type: PG Coursework UnitCredit points: 24AQF level:  9Level of learning:  Advanced        
MAT71215,Introductory Algebra and Calculus (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
MNG93210,Strategy and Case Analysis (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
MNG91211,The Positive Leader (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
MNG93211,Managing Information Systems (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
ACC91210,Finance for Managers (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
ACC93210,Corporate Governance for Managers (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
MNG91220,Strategic Health Management (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
MKT82210,Marketing (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Intermediate        
MNG92210,Global Business (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
ECO82210,Economics and Quantitative Analysis (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Intermediate        
ACC92210,Accounting Information Systems and Processes (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
LAW81110,Business and Corporation Law (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Introductory        
ACC93112,Contemporary Issues in Accounting Theory (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
ACC93211,Professional Auditing (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
FIN93210,Financial Management of Asia Pacific Business (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
MNG91212,Project Management (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
FIN91110,Finance (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
ACC93111,Corporate Governance (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
ACC92212,Taxation Law and Practice (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Intermediate        
ACC92211,Company and Financial Reporting (Online) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
FOR73010,Crop Science (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
BIO72020,Genetics (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ISY92115,Data Management (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
ISY93205,Information Systems Security Management (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
