code,title,uni,state
ACCT3102,External Reporting Issues,University of Queensland,QLD
ACCT4101,Advanced Studies in Accounting,University of Queensland,QLD
ACCT3101,Auditing & Public Practice,University of Queensland,QLD
ACCT3103,Advanced Financial Accounting,University of Queensland,QLD
ACCT3104,Management Accounting,University of Queensland,QLD
ACCT3105,Advanced Management Accounting,University of Queensland,QLD
BISM2206,Accounting Information and Software Applications,University of Queensland,QLD
ECON1310,Quantitative Economic & Business Analysis A,University of Queensland,QLD
LAWS3100,Corporations Law,University of Queensland,QLD
LAWS3101,Income Tax Law,University of Queensland,QLD
RBUS4999,Business Industry Placement,University of Queensland,QLD
BISM2204,R for Business Analytics,University of Queensland,QLD
BISM4201,Business Analytics: Cases and Strategies,University of Queensland,QLD
BISM2205,Predictive Analytics in R,University of Queensland,QLD
BISM3202,Machine Learning in R,University of Queensland,QLD
BISM3204,Data Visualisation in R,University of Queensland,QLD
BISM3209,Pricing and Revenue Optimisation,University of Queensland,QLD
BISM4202,Text Analysis in R,University of Queensland,QLD
BISM2207,Managing Business Data,University of Queensland,QLD
BISM4203,Advanced Studies in Business Information Systems,University of Queensland,QLD
BISM2202,Data Analytics and Information Management,University of Queensland,QLD
BISM2203,Business Process Management,University of Queensland,QLD
BISM3205,Business Information Security,University of Queensland,QLD
BISM3206,Advanced Data Analytics,University of Queensland,QLD
BISM3222,Information Analysis and System Design,University of Queensland,QLD
TIMS2301,Theory of Entrepreneurship and Innovation,University of Queensland,QLD
TIMS4301,Entrepreneurship and Innovation Incubator,University of Queensland,QLD
TIMS3302,Entrepreneurship,University of Queensland,QLD
TIMS3304,Social Entrepreneurship,University of Queensland,QLD
TIMS3309,Fundamentals of Technology and Innovation Management,University of Queensland,QLD
TIMS3310,Entrepreneurial Leadership,University of Queensland,QLD
TIMS4302,Business Model Innovation and Growth,University of Queensland,QLD
FINM2415,Corporate Finance,University of Queensland,QLD
FINM4401,Advanced Studies in Finance,University of Queensland,QLD
"[	
	ECON3210",Financial Markets & Institutions,University of Queensland,QLD
[ or,[ or,University of Queensland,QLD
"[	
	FINM3404",Banking & Lending Decisions,University of Queensland,QLD
FINM2416,Asset Pricing,University of Queensland,QLD
FINM3403,International Financial Management,University of Queensland,QLD
FINM3405,Derivatives and Risk Management,University of Queensland,QLD
MGTS2607,Employment Relations,University of Queensland,QLD
MGTS4603,Advanced Studies in Human Resource Management,University of Queensland,QLD
MGTS2603,Leading & Managing People,University of Queensland,QLD
MGTS3601,Organisational Design & Change Management,University of Queensland,QLD
MGTS3602,Managing Workplace Conflict,University of Queensland,QLD
MGTS3603,Strategic Human Resource Management,University of Queensland,QLD
MGTS3604,Human Resource Development,University of Queensland,QLD
MGTS3605,Negotiating Employment Agreements,University of Queensland,QLD
MGTS3606,Global Human Resource Management,University of Queensland,QLD
MGTS3607,Managing Performance,University of Queensland,QLD
IBUS3303,Global Production and Logistics,University of Queensland,QLD
IBUS4301,Advanced Studies in International Business,University of Queensland,QLD
IBUS2302,Globalisation & Business,University of Queensland,QLD
IBUS2309,Understanding Cultures in International Business,University of Queensland,QLD
IBUS3304,Business in Asia,University of Queensland,QLD
IBUS3306,Managing International Legal Complexity,University of Queensland,QLD
MKTG2501,Consumer Behaviour,University of Queensland,QLD
MKTG4501,Advanced Studies in Marketing,University of Queensland,QLD
MKTG2505,Product and Service Management,University of Queensland,QLD
MKTG2508,Brand Management and Strategy,University of Queensland,QLD
MKTG2511,Marketing Analysis,University of Queensland,QLD
MKTG3501,Marketing Strategy,University of Queensland,QLD
MKTG3503,Sales and Account Management,University of Queensland,QLD
MKTG3504,Applied Market Research,University of Queensland,QLD
MKTG3509,Contemporary Issues in Marketing,University of Queensland,QLD
ECON6010,Microeconomics A,University of Queensland,QLD
ECON6020,Macroeconomics A,University of Queensland,QLD
ECON6300,Advanced Microeconometrics,University of Queensland,QLD
ECON6910,Honours Thesis,University of Queensland,QLD
ECON6030,Microeconomics B,University of Queensland,QLD
ECON6040,Macroeconomics B,University of Queensland,QLD
RBUS6923,Scientific Methods in Commerce,University of Queensland,QLD
RBUS6996,Honours Thesis A,University of Queensland,QLD
"[	
	FINM6401",Corporate Finance Honours,University of Queensland,QLD
"[	
	FINM6402",Empirical Finance Honours,University of Queensland,QLD
FINM6403,Empirical Finance Honours II,University of Queensland,QLD
ANCH1240,The Rise of Ancient Greece: Greek History to the 4th Century BC,University of Queensland,QLD
ANCH1250,The Rise of Ancient Rome: Roman History from Romulus to Augustus,University of Queensland,QLD
ANCH2030,"Myth, Magic and Religion in the Ancient World",University of Queensland,QLD
ANCH2040,The World of Classical Athens: Politics and Society,University of Queensland,QLD
ANCH2050,Ancient World Study Tour: Sites and Museums,University of Queensland,QLD
ANCH2070,Study Tour: Sites and Museums of Roman Italy,University of Queensland,QLD
ANCH2130,Alexander the Great and the Hellenistic World,University of Queensland,QLD
ANCH2230,The Roman Empire: Politics and Society,University of Queensland,QLD
ANCH2250,The Career and Influence of Julius Caesar,University of Queensland,QLD
ANCH2270,Art & Archaeology of Ancient Rome,University of Queensland,QLD
ANCH2280,Roman Society & Civilisation,University of Queensland,QLD
ANCH2290,Art & Archaeology of Ancient Greece,University of Queensland,QLD
ANCH2310,Individuals and the State in the Roman Republic,University of Queensland,QLD
ANCH2431,The World of Late Antiquity,University of Queensland,QLD
ANCH2500,Ancient History and Modern Cinema,University of Queensland,QLD
ANCH2900,R.D. Milns Antiquities Museum International Internship and Field,University of Queensland,QLD
DRAM2090,Ancient Greek and Roman Theatre,University of Queensland,QLD
GREK2120,Intermediate Greek,University of Queensland,QLD
GREK2230,Greek Language & Literature 1,University of Queensland,QLD
LATN2120,Intermediate Latin,University of Queensland,QLD
LATN2230,Latin Language & Literature 1,University of Queensland,QLD
WRIT3100,Writing Ancient History,University of Queensland,QLD
ANCH3020,Special Topic in Greek History,University of Queensland,QLD
ANCH3030,Special Topic in Roman History,University of Queensland,QLD
GREK1110,Introductory Greek,University of Queensland,QLD
LATN1110,Introductory Latin,University of Queensland,QLD
ARTT1105,Art in the Modern World,University of Queensland,QLD
ARTT1106,Looking at Art,University of Queensland,QLD
ARTT2103,Australia Pacific Indigenous Arts,University of Queensland,QLD
ARTT2102,Renaissance Art,University of Queensland,QLD
ARTT2105,"Baroque and Beyond, 1600-1900",University of Queensland,QLD
ARTT2107,Asian Contemporary Art,University of Queensland,QLD
ARTT2127,Australian Art,University of Queensland,QLD
ARTT3117,Visual Arts Curating and Writing,University of Queensland,QLD
MSTU2140,Studies in Photography,University of Queensland,QLD
ARTT2116,Art and Architecture in Venice,University of Queensland,QLD
ARTT2200,Indigenous Art and Culture Field School,University of Queensland,QLD
ARTT3200,Art Internships & Independent Research,University of Queensland,QLD
ARTT3100,Readings in Art History,University of Queensland,QLD
ARTT3101,Topics in Contemporary Art,University of Queensland,QLD
PHIL2500,Philosophy & Art,University of Queensland,QLD
DRAM1010,Elements of Performance,University of Queensland,QLD
DRAM1100,The Theatre Experience,University of Queensland,QLD
DRAM2030,Experimentation in 20th Century Theatre,University of Queensland,QLD
DRAM2025,Major Movements in European Theatre (1500-1800),University of Queensland,QLD
DRAM2040,Contemporary Theatre & Performance,University of Queensland,QLD
DRAM2050,Australian Drama,University of Queensland,QLD
DRAM2200,Live Theatre Production: Performance Creation & Event Management,University of Queensland,QLD
DRAM3103,Theatre Historiography: Making the Connections,University of Queensland,QLD
DRAM3102,Playwriting & Dramaturgy: Creative Practice,University of Queensland,QLD
DRAM3104,"Independent Practice: Secondments, Field Trips, Research",University of Queensland,QLD
DRAM3105,Directing & Dramaturgy: From History to Workshop,University of Queensland,QLD
DRAM2400,Performative Communication: Presentation and Public Speaking,University of Queensland,QLD
WRIT2120,Creative Writing: Screenwriting,University of Queensland,QLD
WRIT2250,"Writing: Grammar, Syntax, and Style",University of Queensland,QLD
ENGL1800,Literary Classics: Texts and Traditions,University of Queensland,QLD
ENGL1500,Contemporary Literature: Reading & Writing,University of Queensland,QLD
ENGL1900,The Birth of the Modern: Literature and Thought from 1850 to 1960,University of Queensland,QLD
ENGL2405,Thinking about Literature: Criticism and Theory,University of Queensland,QLD
ENGL2040,Gothic Fiction,University of Queensland,QLD
ENGL2060,Shakespeare and His Contemporaries,University of Queensland,QLD
ENGL2065,Jane Austen and her Influence,University of Queensland,QLD
ENGL2070,"Contemporary British and American Fiction: Ethics, Politics,and Literature",University of Queensland,QLD
ENGL2440,"The Novel: Realism, History, Fiction",University of Queensland,QLD
ENGL2460,Poetry: Tradition and Revolution,University of Queensland,QLD
ENGL3100,Australian Literature,University of Queensland,QLD
ENGL3500,Gender and Textuality,University of Queensland,QLD
ENGL3630,Postmodernism: Fiction and Theories,University of Queensland,QLD
ENGL3020,"Journals, Repositories & Conferences Internship",University of Queensland,QLD
ENGL3030,Adaptation: Studies in Transmission Between Cultures and Forms,University of Queensland,QLD
HIST1601,Turning Points in World History,University of Queensland,QLD
HIST1201,The Australian Experience,University of Queensland,QLD
HIST1400,The Medieval and Early Modern World,University of Queensland,QLD
HIST2312,The History Makers,University of Queensland,QLD
HIST2100,"China: From Empire to Republic, 1500-1951",University of Queensland,QLD
HIST2101,"Contemporary China: The People's Republic, Hong Kong & Taiwan since 1949",University of Queensland,QLD
HIST2107,The Modern Middle East,University of Queensland,QLD
HIST2119,"Modern Southeast Asia: Freedom, Power and the State",University of Queensland,QLD
HIST2140,Indian History and Religion Study Tour,University of Queensland,QLD
RELN2300,"Rituals, Priests & Kings: A History of Hinduism",University of Queensland,QLD
HIST2619,Japan and the World,University of Queensland,QLD
HIST2013,Medieval Study Tour,University of Queensland,QLD
HIST2411,Witchcraft & Demonology in Early Modern Europe & Its Colonies,University of Queensland,QLD
HIST2412,The British Isles: 1500-1700,University of Queensland,QLD
HIST2416,Medieval Heresy,University of Queensland,QLD
HIST2615,Age of Crusades,University of Queensland,QLD
RELN2411,Western Religious Thought from the Middle Ages to the Present,University of Queensland,QLD
HIST2211,America in Film,University of Queensland,QLD
HIST2245,Australians at War,University of Queensland,QLD
HIST2247,The Making of Modern Australia: Society & Culture since 1901,University of Queensland,QLD
HIST2407,Germany from Bismarck to Hitler (1870-1933),University of Queensland,QLD
HIST2408,Germany from Hitler to Reunification (1933-1991),University of Queensland,QLD
HIST2414,The Radical Right & Fascism in Europe,University of Queensland,QLD
HIST2417,"Imperial Britain: Crisis and Conflict, 1815-1945",University of Queensland,QLD
HIST2707,The Anatomy of a Super Power: the US since 1945,University of Queensland,QLD
HIST2030,"History of Medicine, Science and the Body",University of Queensland,QLD
HIST2603,Sex in History,University of Queensland,QLD
HIST2611,"Body, Fashion & Consumption in History",University of Queensland,QLD
WRIT3613,History in Action,University of Queensland,QLD
HIST3616,History in Popular Culture,University of Queensland,QLD
HIST3301,History of Genocide,University of Queensland,QLD
HIST3302,The City in History,University of Queensland,QLD
HIST3303,Trafficking Bodies from the Ancient World to the Present,University of Queensland,QLD
MATH1051,Calculus & Linear Algebra I,University of Queensland,QLD
MATH1052,Multivariate Calculus & Ordinary Differential Equations,University of Queensland,QLD
MATH2001,Advanced Calculus & Linear Algebra II,University of Queensland,QLD
MATH2400,Mathematical Analysis,University of Queensland,QLD
MATH1050,Mathematical Foundations,University of Queensland,QLD
COSC2500,Numerical Methods in Computational Science,University of Queensland,QLD
MATH2100,Applied Mathematical Analysis,University of Queensland,QLD
STAT2003,Mathematical Probability,University of Queensland,QLD
STAT2203,Probability Models and Data Analysis for Engineering,University of Queensland,QLD
MATH3401,Complex Analysis,University of Queensland,QLD
MATH3090,Financial Mathematics,University of Queensland,QLD
MATH3101,Bifurcation and Chaos,University of Queensland,QLD
MATH3102,Methods & Models of Applied Mathematics,University of Queensland,QLD
MATH3103,Algebraic Methods of Mathematical Physics,University of Queensland,QLD
MATH3104,Mathematical Biology,University of Queensland,QLD
MATH3201,Scientific Computing: Advanced Techniques and Applications,University of Queensland,QLD
MATH3202,Operations Research & Mathematical Planning,University of Queensland,QLD
MATH3402,Functional Analysis,University of Queensland,QLD
MATH3403,Partial Differential Equations,University of Queensland,QLD
MATH3404,Optimisation Theory,University of Queensland,QLD
MATH3405,Differential Geometry,University of Queensland,QLD
STAT3004,Probability Models & Stochastic Processes,University of Queensland,QLD
MATH1061,Discrete Mathematics,University of Queensland,QLD
MATH2301,Linear & Abstract Algebra & Number Theory,University of Queensland,QLD
MATH2302,Discrete Mathematics II,University of Queensland,QLD
MATH3301,Graph Theory and Design Theory,University of Queensland,QLD
MATH3302,Coding & Cryptography,University of Queensland,QLD
MATH3303,Abstract Algebra & Number Theory,University of Queensland,QLD
MATH3306,Set Theory & Mathematical Logic,University of Queensland,QLD
MUSC1050,Music in Society 1,University of Queensland,QLD
MUSC1600,Musicianship 1,University of Queensland,QLD
MUSC2051,Music in Society 2,University of Queensland,QLD
MUSC2060,Musicianship 2,University of Queensland,QLD
MUSC2510,Music in Society 3,University of Queensland,QLD
MUSC3560,Historical Performance Practice,University of Queensland,QLD
MUSC3600,Counterpoint,University of Queensland,QLD
MUSC3720,Music in Film and Television,University of Queensland,QLD
MUSC2300,Music and Human Behaviour,University of Queensland,QLD
MUSC2310,"Music, Wellbeing and Health",University of Queensland,QLD
MUSC2501,Music History - Medieval/Renaissance,University of Queensland,QLD
MUSC2640,Introduction to Musical Analysis,University of Queensland,QLD
MUSC2710,"Music in War, Protest and Peace",University of Queensland,QLD
MUSC3540,"Music Communication, Writing and Critique",University of Queensland,QLD
MUSC2620,Advanced Musicianship 1,University of Queensland,QLD
MUSC2630,Advanced Musicianship 2,University of Queensland,QLD
PHIL1002,Introduction to Philosophy: What is Philosophy?,University of Queensland,QLD
PHIL1013,Introduction to Ethics,University of Queensland,QLD
PHIL1110,Critical Reasoning,University of Queensland,QLD
PHIL2013,Rise of Modern Philosophy,University of Queensland,QLD
PHIL2000,Epistemology & Metaphysics,University of Queensland,QLD
PHIL2010,Representation & Reality: The Philosophy of Language,University of Queensland,QLD
PHIL2011,Philosophy of Modern Physics,University of Queensland,QLD
PHIL2020,Paradoxes,University of Queensland,QLD
PHIL2050,Mind and Cognition,University of Queensland,QLD
PHIL2090,Philosophy of Science: select topics in the foundations of scientific enquiry,University of Queensland,QLD
PHIL2110,Formal Logic: an introduction to classical formal logic,University of Queensland,QLD
PHIL2150,Philosophy of the Life Sciences,University of Queensland,QLD
PHIL2190,Feminist Philosophy,University of Queensland,QLD
PHIL2210,Environmental Philosophy,University of Queensland,QLD
PHIL2220,Kant & European Philosophy,University of Queensland,QLD
PHIL2300,Phenomenology & Existentialism,University of Queensland,QLD
PHIL2310,European Social Philosophy,University of Queensland,QLD
PHIL2330,Political Philosophy,University of Queensland,QLD
PHIL2700,Philosophy and Education,University of Queensland,QLD
PHIL2750,Social and Economic Justice,University of Queensland,QLD
PHIL3002,Philosophy Today,University of Queensland,QLD
PHIL3110,Advanced Logic,University of Queensland,QLD
PHIL3612,Advanced Topics in Metaphysics,University of Queensland,QLD
PHIL3620,Contemporary European Philosophy,University of Queensland,QLD
PHIL3630,Advanced Topics in Moral & Political Philosophy,University of Queensland,QLD
RELN1000,World Religions,University of Queensland,QLD
RELN1001,Belief & Unbelief,University of Queensland,QLD
