code,title,uni,state
OLET1115,(Im)Politeness in Global Society,University of Sydney,NSW
DECO1008,3D Modelling and Fabrication,University of Sydney,NSW
SURG5030,"Abdomen, Pelvis, Perineum by Dissection",University of Sydney,NSW
PSYC3018,Abnormal Psychology,University of Sydney,NSW
MUED1007,Aboriginal and Torres Strait Islands Music,University of Sydney,NSW
ANTH2605,Aboriginal Australia: Cultural Journeys,University of Sydney,NSW
EDUF3135,Aboriginal Community Engagement,University of Sydney,NSW
EDUP2006,Aboriginal Education K-6,University of Sydney,NSW
EDSE4052,Aboriginal Education: Secondary Schools,University of Sydney,NSW
EDMT5679,Aboriginal Education: Secondary Schools,University of Sydney,NSW
EDMT5680,Aboriginal Students K-6,University of Sydney,NSW
EDMT5011,Aboriginal Studies Curriculum 1,University of Sydney,NSW
EDMT5012,Aboriginal Studies Curriculum 2,University of Sydney,NSW
EDMT6615,Aboriginal Studies Curriculum 3,University of Sydney,NSW
OLET1101,Aboriginal Sydney,University of Sydney,NSW
PUBH5120,Aboriginal/Torres Strait Islander Health,University of Sydney,NSW
FASS7001,Academic English for Postgraduates,University of Sydney,NSW
RLST6946,Academic Research Project,University of Sydney,NSW
ACCT3600,Accounting and Auditing in Practice,University of Sydney,NSW
ACCT1006,Accounting and Financial Management,University of Sydney,NSW
BUSS4112,Accounting Honours A,University of Sydney,NSW
BUSS4113,Accounting Honours B,University of Sydney,NSW
INFS5000,Accounting Information Systems,University of Sydney,NSW
ACCT5001,Accounting Principles,University of Sydney,NSW
BUSS1030,"Accounting, Business and Society",University of Sydney,NSW
ELEC5305,"Acoustics, Speech and Signal Processing",University of Sydney,NSW
NURS1008,Acute Care Nursing Practice,University of Sydney,NSW
PAIN5021,Acute Pain,University of Sydney,NSW
PMGT3858,Adapting to Project Context,University of Sydney,NSW
LAWS2010,Administrative Law,University of Sydney,NSW
LAWS5010,Administrative Law,University of Sydney,NSW
MUED2606,Adolescent Development and Behaviour,University of Sydney,NSW
PAED5002,Adolescent Medicine,University of Sydney,NSW
SEXH5205,Adolescent Sexual Health,University of Sydney,NSW
PUBH5423,Adv Concepts:Vaccines in Public Health,University of Sydney,NSW
MBLG3594,Adv Molecular Biol and Genetics Exchange,University of Sydney,NSW
MBLG2592,Adv Molecular Biol and Genetics Exchange,University of Sydney,NSW
MBLG1591,Adv Molecular Biol and Genetics Exchange,University of Sydney,NSW
MBLG3593,Adv Molecular Biol and Genetics Exchange,University of Sydney,NSW
MBLG3592,Adv Molecular Biol and Genetics Exchange,University of Sydney,NSW
MBLG3591,Adv Molecular Biol and Genetics Exchange,University of Sydney,NSW
MBLG2591,Adv Molecular Biol and Genetics Exchange,University of Sydney,NSW
AERO8200,Advanced Aerodynamics,University of Sydney,NSW
AERO5200,Advanced Aerodynamics,University of Sydney,NSW
AERO5400,Advanced Aircraft Design Analysis,University of Sydney,NSW
CMPN4666,Advanced Analysis,University of Sydney,NSW
QBUS3830,Advanced Analytics,University of Sydney,NSW
ARBC3615,Advanced Arabic 3A,University of Sydney,NSW
ARBC3616,Advanced Arabic 3B,University of Sydney,NSW
MCGY3600,Advanced Aural,University of Sydney,NSW
CHNG5607,Advanced Biochemical Engineering,University of Sydney,NSW
BCHM2593,Advanced Biochemistry Exchange,University of Sydney,NSW
BCHM2592,Advanced Biochemistry Exchange,University of Sydney,NSW
BCHM2591,Advanced Biochemistry Exchange,University of Sydney,NSW
BCHM3594,Advanced Biochemistry Exchange,University of Sydney,NSW
BCHM3592,Advanced Biochemistry Exchange,University of Sydney,NSW
BCHM3591,Advanced Biochemistry Exchange,University of Sydney,NSW
BCHM3593,Advanced Biochemistry Exchange,University of Sydney,NSW
BIOL2592,Advanced Biology Exchange,University of Sydney,NSW
BIOL3591,Advanced Biology Exchange,University of Sydney,NSW
