code,title,uni,state
ACCT1006,Accounting and Financial Management,University of Sydney,NSW
ACCT2011,Financial Accounting A,University of Sydney,NSW
ACCT2019,Management Accounting,University of Sydney,NSW
ACCT3011,Financial Accounting B,University of Sydney,NSW
ACCT3013,Financial Statement Analysis,University of Sydney,NSW
ACCT3015,Data Analytics for Accounting,University of Sydney,NSW
ACCT3016,Sustainability Accounting,University of Sydney,NSW
ACCT3020,Advanced Issues in Management Accounting,University of Sydney,NSW
ACCT3031,International Corporate Governance,University of Sydney,NSW
ACCT3600,Accounting and Auditing in Practice,University of Sydney,NSW
ACCT5001,Accounting Principles,University of Sydney,NSW
ACCT5002,Managerial Accounting and Decision Making,University of Sydney,NSW
ACCT6001,Intermediate Financial Reporting,University of Sydney,NSW
ACCT6002,International Accounting,University of Sydney,NSW
ACCT6003,Fundamental Analysis for Equity Investment,University of Sydney,NSW
ACCT6006,Advanced Managerial Accounting,University of Sydney,NSW
ACCT6007,Contemporary Issues in Auditing,University of Sydney,NSW
ACCT6010,Advanced Financial Reporting,University of Sydney,NSW
ACCT6014,Designing Accounting Systems,University of Sydney,NSW
ACCT6015,Extended Performance Reporting,University of Sydney,NSW
ACCT6019,Analytics for Accounting,University of Sydney,NSW
ACCT6120,Corporate Governance and Accountability,University of Sydney,NSW
AERO1400,Intro to Aircraft Construction and Design,University of Sydney,NSW
AERO1560,Introduction to Aerospace Engineering,University of Sydney,NSW
AERO2703,Aircraft Performance and Operations,University of Sydney,NSW
AERO2705,Space Engineering 1,University of Sydney,NSW
AERO3260,Aerodynamics 1,University of Sydney,NSW
AERO3261,Propulsion,University of Sydney,NSW
AERO3360,Aerospace Structures 1,University of Sydney,NSW
AERO3460,Aerospace Design 1,University of Sydney,NSW
AERO3465,Aerospace Design 2,University of Sydney,NSW
AERO3560,Flight Mechanics 1,University of Sydney,NSW
AERO3760,Space Engineering 2,University of Sydney,NSW
AERO4260,Aerodynamics 2,University of Sydney,NSW
AERO4360,Aerospace Structures 2,University of Sydney,NSW
AERO4460,Aerospace Design 3,University of Sydney,NSW
AERO4560,Flight Mechanics 2,University of Sydney,NSW
AERO4701,Space Engineering 3,University of Sydney,NSW
AERO5200,Advanced Aerodynamics,University of Sydney,NSW
AERO5206,Rotary Wing Aircraft,University of Sydney,NSW
AERO5400,Advanced Aircraft Design Analysis,University of Sydney,NSW
AERO5750,Unmanned Air Vehicle Systems,University of Sydney,NSW
AERO8260,Aerodynamics 1,University of Sydney,NSW
AERO8261,Propulsion,University of Sydney,NSW
AERO8360,Aerospace Structures 1,University of Sydney,NSW
AERO8460,Aerospace Design 1,University of Sydney,NSW
AERO8560,Flight Mechanics 1,University of Sydney,NSW
AERO9260,Aerodynamics 1,University of Sydney,NSW
AERO9261,Propulsion,University of Sydney,NSW
AERO9262,Aerodynamics 2,University of Sydney,NSW
AERO9301,Applied Finite Element Analysis,University of Sydney,NSW
AERO9360,Aerospace Structures 1,University of Sydney,NSW
AERO9460,Aerospace Design 1,University of Sydney,NSW
AERO9560,Flight Mechanics 1,University of Sydney,NSW
AERO9760,Spacecraft and Satellite Design,University of Sydney,NSW
AFNR3001,Agro-ecosystems in Developing Countries,University of Sydney,NSW
AFNR4001,Professional Development,University of Sydney,NSW
AFNR4101,Research Project A,University of Sydney,NSW
AFNR4102,Research Project B,University of Sydney,NSW
