code,title,level,campus
3113EN101,Foundation English 1,TAFE (Vocational),Footscray Nicholson
3113EN102,Foundation English 2,TAFE (Vocational),Footscray Nicholson
AC011,Accounting 1,TAFE (Vocational),Footscray Nicholson
AC022,Accounting 2,TAFE (Vocational),Footscray Nicholson
AC033,Accounting 3,TAFE (Vocational),Footscray Nicholson
AC034,Accounting 4,TAFE (Vocational),Footscray Nicholson
AHCLSC202,Construct low-profile timber or modular retaining walls,TAFE (Vocational),Sunshine or Werribee
AUMATA5008,Produce drawings manually,TAFE (Vocational),Industry or Sunshine
AURVTP2009,Apply vehicle body film wrapping,TAFE (Vocational),Sunshine
AEK1204,Aboriginal History and Political Movements,Bachelor,"Footscray Park, St Albans or VU Sydney"
3113EN101,Foundation English 1,TAFE (Vocational),Footscray Nicholson
3113EN102,Foundation English 2,TAFE (Vocational),Footscray Nicholson
AC011,Accounting 1,TAFE (Vocational),Footscray Nicholson
AC022,Accounting 2,TAFE (Vocational),Footscray Nicholson
AC033,Accounting 3,TAFE (Vocational),Footscray Nicholson
AC034,Accounting 4,TAFE (Vocational),Footscray Nicholson
AHCLSC202,Construct low-profile timber or modular retaining walls,TAFE (Vocational),Sunshine or Werribee
AUMATA5008,Produce drawings manually,TAFE (Vocational),Industry or Sunshine
AURVTP2009,Apply vehicle body film wrapping,TAFE (Vocational),Sunshine
AEK1204,Aboriginal History and Political Movements,Bachelor,"Footscray Park, St Albans or VU Sydney"
BAO2000,Accounting Information Systems,Bachelor,"City Flinders, Footscray Park or VU Sydney"
BAO6504,Accounting for Management,Postgraduate,City Flinders
VHH1005,Accounting Principles for Management,Bachelor,Footscray Nicholson
BAO5543,Accounting Systems and Processes,Postgraduate,City Flinders or VU Sydney
AHE3219,Adapted Physical Education,Bachelor,Footscray Park
SHE2001,Adolescent Health,Bachelor,Footscray Park
NIT3112,Advance Web Application Development,Bachelor,Footscray Park or VU Sydney
AHE3101,Advanced Biomechanics,Bachelor,Footscray Park or Other
NBC3002,Advanced Building Surveying,Bachelor,Footscray Park
HMH7104,Advanced Clinical Theory and Skills 1,Postgraduate,City Flinders
HMH7204,Advanced Clinical Theory and Skills 2,Postgraduate,City Flinders
HMH7304,Advanced Clinical Theory and Skills 3,Postgraduate,City Flinders
NNT6501,Advanced Communication System Design 1,Postgraduate,Footscray Park
NNT6502,Advanced Communication System Design 2,Postgraduate,Footscray Park
NBC4002,Advanced Construction,Bachelor,Footscray Park
APT6000,Advanced Counselling Interventions,Postgraduate,City Flinders
NEM4202,Advanced Engineering Analysis,Bachelor,Footscray Park
NEF4206,Advanced Engineering Design,Bachelor,Footscray Park
AHE3100,Advanced Exercise Physiology,Bachelor,Footscray Park
BAO3309,Advanced Financial Accounting,Bachelor,"City Flinders, Footscray Park or VU Sydney"
HBD4102,Advanced Laser 1,Bachelor,City Queen or Online
HBD4202,Advanced Laser 2,Bachelor,City Queen or Online
LLW5901,Advanced Legal Research Dissertation,Bachelor,City Queen
LLW5900,Advanced Legal Research Methods,Bachelor,City Queen
LMAADV,Advanced Legal Services,Bachelor,City Queen or Footscray Park
RBM3264,Advanced Nerve and Muscle Physiology,Bachelor,St Albans
RBM3640,Advanced Neurosciences,Bachelor,St Albans
NIT5150,Advanced  Object Oriented Programming,Postgraduate,Footscray Park or VU Sydney
BMO7000,Advanced Organisational Behaviour,Postgraduate,"City Flinders, Victoria University Online or VU Sydney"
ASW4002,Advanced Professional Practice,Bachelor,Footscray Nicholson or Footscray Park
